Ingrédient,"Facteur GES
 kg CO2 eq / kg d'ingrédient ingéré",
Viande de porc,"7,4",carbon_footprint_fr_foodges_ingredient:fr:Viande de porc
Saucisson de porc,"5,1",carbon_footprint_fr_foodges_ingredient:fr:Saucisson de porc
Saucisse de porc,"5,5",carbon_footprint_fr_foodges_ingredient:fr:Saucisse de porc
Lardons,"5,6",carbon_footprint_fr_foodges_ingredient:fr:Lardons
Viande de veau  France,"20,5",carbon_footprint_fr_foodges_ingredient:fr:Viande de veau France
Viande de bœuf moyen France,"35,8",carbon_footprint_fr_foodges_ingredient:fr:Viande de bœuf moyen France
Cuisse de poulet,"4,9",carbon_footprint_fr_foodges_ingredient:fr:Cuisse de poulet
Blanc de poulet,"4,9",carbon_footprint_fr_foodges_ingredient:fr:Blanc de poulet
Poulet roti entier,"5,2",carbon_footprint_fr_foodges_ingredient:fr:Poulet roti entier
Cuisse de dinde,"6,6",carbon_footprint_fr_foodges_ingredient:fr:Cuisse de dinde
Blanc de dinde,"6,5",carbon_footprint_fr_foodges_ingredient:fr:Blanc de dinde
Magret canard,"9,7",carbon_footprint_fr_foodges_ingredient:fr:Magret canard
Lapin,"8,1",carbon_footprint_fr_foodges_ingredient:fr:Lapin
Côtelettes d'Agneau,55,carbon_footprint_fr_foodges_ingredient:fr:Côtelettes d'Agneau
"Truite d'élevage, entière ","4,9","carbon_footprint_fr_foodges_ingredient:fr:Truite d'élevage, entière"
Pavé de Truite ou Saumon d'élevage,"6,6",carbon_footprint_fr_foodges_ingredient:fr:Pavé de Truite ou Saumon d'élevage
Truite/Saumon fumé d'élevage,"5,5",carbon_footprint_fr_foodges_ingredient:fr:Truite/Saumon fumé d'élevage
Bar ou dorade d'élevage (filet),12,carbon_footprint_fr_foodges_ingredient:fr:Bar ou dorade d'élevage (filet)
Poisson sauvage entier,"10,2",carbon_footprint_fr_foodges_ingredient:fr:Poisson sauvage entier
Poisson sauvage (filet),"11,5",carbon_footprint_fr_foodges_ingredient:fr:Poisson sauvage (filet)
