DEP	COM	ARRD	CANT	ADMI	POPU	SURFACE	NOM	XPROJ_LOC	YPROJ_LOC	LONGI_DMS_LOC	LATI_DMS_LOC	XPROJ_MOND	YPROJ_MOND	LONGI_DMS_MOND	LATI_DMS_MOND	ZMIN	ZMAX
971	30	1	34	5	10	680	TERRE-DE-BAS	6457	17531	-613823	+155109	6452	17528	-613837	+155059	0	293
971	31	1	34	6	18	600	TERRE-DE-HAUT	6522	17550	-613442	+155210	6518	17547	-613456	+155201	0	309
971	33	1	35	6	18	724	VIEUX-FORT	6398	17640	-614138	+155704	6394	17637	-614152	+155655	0	690
971	02	2	03	5	47	6250	ANSE-BERTRAND	6596	18220	-613018	+162828	6592	18217	-613032	+162819	0	90
971	16	2	95	5	170	6450	MORNE-A-L'EAU	6653	18066	-612711	+162004	6648	18063	-612725	+161955	0	106
971	17	2	96	5	213	8284	LE MOULE	6774	18066	-612023	+162001	6770	18063	-612037	+161952	0	110
971	10	2	10	5	16	2112	LA DESIRADE	7061	18038	-610417	+161821	7056	18035	-610431	+161812	0	280
971	28	2	98	5	235	8029	SAINTE-ANNE	6729	17949	-612255	+161341	6725	17946	-612310	+161332	0	135
971	25	2	27	5	141	6100	SAINT-FRANCOIS	6849	17978	-611612	+161514	6845	17975	-611626	+161505	0	67
971	19	2	19	5	82	7050	PETIT-CANAL	6617	18117	-612909	+162253	6613	18114	-612924	+162244	0	70
971	29	1	99	5	196	11860	SAINTE-ROSE	6395	18065	-614139	+162008	6391	18062	-614153	+161959	0	758
971	20	2	97	4	172	266	POINTE-A-PITRE	6572	17965	-613145	+161437	6568	17962	-613159	+161428	0	26
971	14	1	43	5	77	5991	GOYAVE	6531	17845	-613404	+160809	6527	17842	-613418	+160800	0	1298
971	07	1	90	5	193	10330	CAPESTERRE-BELLE-EAU	6540	17745	-613339	+160243	6535	17742	-613353	+160233	0	1450
971	01	2	93	5	593	8125	LES ABYMES	6602	17997	-613002	+161623	6598	17994	-613017	+161614	0	120
971	24	1	26	5	104	3430	SAINT-CLAUDE	6397	17727	-614140	+160147	6393	17724	-614154	+160138	60	1461
971	21	1	24	5	71	5970	POINTE-NOIRE	6297	17954	-614711	+161407	6293	17951	-614725	+161358	0	775
971	15	1	13	5	158	6560	LAMENTIN	6465	17998	-613744	+161627	6461	17995	-613758	+161618	0	740
971	11	1	33	6	44	3110	DESHAIES	6292	18036	-614725	+161834	6288	18033	-614739	+161825	0	758
971	09	1	42	5	81	2252	GOURBEYRE	6403	17691	-614119	+155950	6399	17688	-614134	+155941	0	1397
971	06	1	07	5	76	4346	BOUILLANTE	6320	17843	-614557	+160806	6316	17840	-614611	+160757	0	1088
971	05	1	94	2	122	578	BASSE-TERRE	6360	17693	-614343	+155958	6356	17690	-614358	+155949	0	164
971	04	1	36	6	56	2430	BAILLIF	6345	17720	-614434	+160125	6341	17717	-614448	+160116	0	1354
971	22	2	03	6	55	4424	PORT-LOUIS	6571	18159	-613143	+162509	6567	18156	-613157	+162500	0	79
971	18	1	92	5	222	12988	PETIT-BOURG	6511	17909	-613511	+161138	6507	17906	-613525	+161129	0	1155
971	13	2	91	5	269	4520	LE GOSIER	6616	17926	-612917	+161230	6612	17923	-612931	+161220	0	125
971	03	1	04	5	295	4600	BAIE-MAHAULT	6514	17993	-613459	+161612	6510	17990	-613513	+161603	0	112
971	34	1	36	5	77	5870	VIEUX-HABITANTS	6326	17763	-614538	+160345	6322	17760	-614552	+160336	0	1354
971	32	1	35	5	88	3110	TROIS-RIVIERES	6454	17671	-613827	+155844	6450	17668	-613841	+155835	0	1150
971	26	2	28	5	28	5628	SAINT-LOUIS	6803	17648	-611855	+155722	6799	17645	-611909	+155713	0	181
971	12	2	12	5	56	5554	GRAND-BOURG	6807	17571	-611844	+155309	6803	17568	-611858	+155300	0	163
971	08	2	09	5	34	4619	CAPESTERRE-DE-MARIE-GALANTE	6909	17581	-611302	+155342	6905	17578	-611316	+155333	0	204
