Commune;Codepos;Departement;INSEE
L ABERGEMENT CLEMENCIAT;01400;AIN;1001
L ABERGEMENT DE VAREY;01640;AIN;1002
AMAREINS;01090;AIN;1003
AMBERIEU EN BUGEY;01500;AIN;1004
AMBERIEUX EN DOMBES;01330;AIN;1005
AMBLEON;01300;AIN;1006
AMBRONAY;01500;AIN;1007
AMBUTRIX;01500;AIN;1008
ANDERT ET CONDON;01300;AIN;1009
ANGLEFORT;01350;AIN;1010
APREMONT;01100;AIN;1011
ARANC;01110;AIN;1012
ARANDAS;01230;AIN;1013
ARBENT;01100;AIN;1014
ARBIGNIEU;01300;AIN;1015
ARBIGNY;01190;AIN;1016
ARGIS;01230;AIN;1017
ARMIX;01510;AIN;1019
ARS SUR FORMANS;01480;AIN;1021
ARTEMARE;01510;AIN;1022
ASNIERES SUR SAONE;01570;AIN;1023
ATTIGNAT;01340;AIN;1024
BAGE LA VILLE;01380;AIN;1025
BAGE LE CHATEL;01380;AIN;1026
BALAN;01360;AIN;1027
BANEINS;01990;AIN;1028
BEAUPONT;01270;AIN;1029
BEAUREGARD;01480;AIN;1030
BELLIGNAT;01810;AIN;1031
BELIGNEUX;01360;AIN;1032
BELLEGARDE SUR VALSERINE;01200;AIN;1033
BELLEY;01300;AIN;1034
BELLEYDOUX;01130;AIN;1035
BELMONT LUTHEZIEU;01260;AIN;1036
BENONCES;01470;AIN;1037
BENY;01370;AIN;1038
BEON;01350;AIN;1039
BEREZIAT;01340;AIN;1040
BETTANT;01500;AIN;1041
BEY;01290;AIN;1042
BEYNOST;01700;AIN;1043
BILLIAT;01200;AIN;1044
BIRIEUX;01330;AIN;1045
BIZIAT;01290;AIN;1046
BLYES;01150;AIN;1047
BOHAS;01250;AIN;1048
LA BOISSE;01120;AIN;1049
BOISSEY;01190;AIN;1050
BOLOZON;01450;AIN;1051
BOULIGNEUX;01330;AIN;1052
BOURG EN BRESSE;01000;AIN;1053
BOURG ST CHRISTOPHE;01800;AIN;1054
BOUVENT;01100;AIN;1055
BOYEUX ST JEROME;01640;AIN;1056
BOZ;01190;AIN;1057
BREGNIER CORDON;01300;AIN;1058
BRENAZ;01260;AIN;1059
BRENOD;01110;AIN;1060
BRENS;01300;AIN;1061
