 Nom Ville 	MAJ   	 Code Postal 	 Code INSEE 	Code Région	 Latitude 	 Longitude 	 Eloignement 
 L'Abergement-Clémenciat 	L ABERGEMENT CLEMENCIAT 	1400	1001	82	46.15	4.916667	1.46
 L'Abergement-de-Varey 	L ABERGEMENT DE VAREY	1640	1002	82	46	5.416667	1
 Amareins 	AMAREINS   	1090	1003	82	46.083333	4.8	1.85
 Ambérieu-en-Bugey 	AMBERIEU EN BUGEY 	1500	1004	82	45.95	5.35	0.8
 Ambérieux-en-Dombes 	AMBERIEUX EN DOMBES 	1330	1005	82	46	4.9	1.72
 Ambléon 	AMBLEON   	1300	1006	82	45.75	5.6	2.01
 Ambronay 	AMBRONAY   	1500	1007	82	46	5.35	1.34
 Ambutrix 	AMBUTRIX   	1500	1008	82	45.933333	5.333333	0.9
 Andert-et-Condon 	ANDERT ET CONDON 	1300	1009	82	45.8	5.65	1.71
 Anglefort 	ANGLEFORT   	1350	1010	82	45.916667	5.808333	-1
 Apremont 	APREMONT   	1100	1011	82	46.208333	5.658333	1.46
 Aranc 	ARANC   	1110	1012	82	46	5.5	1.01
 Arandas 	ARANDAS   	1230	1013	82	45.9	5.483333	1.11
 Arbent 	ARBENT   	1100	1014	82	46.3	5.683333	1.39
 Arbignieu 	ARBIGNIEU   	1300	1015	82	45.733333	5.65	2.11
 Arbigny 	ARBIGNY   	1190	1016	82	46.466667	4.966667	2.31
 Argis 	ARGIS   	1230	1017	82	45.933333	5.483333	0.9
 Armix 	ARMIX   	1510	1019	82	45.85	5.583333	1.41
 Ars-sur-Formans 	ARS SUR FORMANS 	1480	1021	82	45.983333	4.816667	1.8
 Artemare 	ARTEMARE   	1510	1022	82	45.866667	5.7	1.31
 Asnières-sur-Saône 	ASNIERES SUR SAONE 	1570	1023	82	46.383333	4.883333	1.81
 Attignat 	ATTIGNAT   	1340	1024	82	46.283333	5.166667	1.21
 Bâgé-la-Ville 	BAGE LA VILLE 	1380	1025	82	46.316667	4.95	1.41
 Bâgé-le-Châtel 	BAGE LE CHATEL 	1380	1026	82	46.3	4.933333	1.4
 Balan 	BALAN   	1360	1027	82	45.833333	5.1	1.51
 Baneins 	BANEINS   	1990	1028	82	46.116667	4.9	1.51
 Beaupont 	BEAUPONT   	1270	1029	82	46.4	5.266667	1.91
 Bellignat 	BELLIGNAT   	1810	1031	82	46.25	5.616667	1.5
 Béligneux 	BELIGNEUX   	1360	1032	82	45.866667	5.116667	1.31
 Bellegarde-sur-Valserine 	BELLEGARDE SUR VALSERINE 	1200	1033	82	46.1	5.816667	1.61
 Belley 	BELLEY   	1300	1034	82	45.766667	5.683333	1.91
 Belleydoux 	BELLEYDOUX   	1130	1035	82	46.25	5.766667	1.72
 Bénonces 	BENONCES   	1470	1037	82	45.833333	5.483333	1.7
 Bény 	BENY   	1370	1038	82	46.333333	5.283333	1.51
 Béon 	BEON   	1350	1039	82	45.833333	5.75	1.51
 Béréziat 	BEREZIAT   	1340	1040	82	46.366667	5.05	1.71
 Bettant 	BETTANT   	1500	1041	82	45.933333	5.366667	1.21
 Bey 	BEY   	1290	1042	82	46.216667	4.85	1.68
 Beynost 	BEYNOST   	1700	1043	82	45.833333	5	1.51
 Billiat 	BILLIAT   	1200	1044	82	46.066667	5.783333	1.5
 Birieux 	BIRIEUX   	1330	1045	82	45.95	5.033333	1.06
 Biziat 	BIZIAT   	1290	1046	82	46.216667	4.933333	1.51
 Blyes 	BLYES   	1150	1047	82	45.85	5.25	1.41
 Bohas 	BOHAS   	1250	1048	82	46.166667	5.4	0.52
 La Boisse 	LA BOISSE  	1120	1049	82	45.85	5.033333	1.41
 Boissey 	BOISSEY   	1190	1050	82	46.383333	5	1.81
 Bolozon 	BOLOZON   	1450	1051	82	46.2	5.483333	1.91
 Bouligneux 	BOULIGNEUX   	1330	1052	82	46.016667	5	1.17
 Bourg-en-Bresse 	BOURG EN BRESSE 	1000	1053	82	46.2	5.216667	1
