ciqual_code	name_en	name_fr	prop_in_categories	prop_in_ingredients
6260	Burger, beef based, 15% fat, raw, prepacked	Haché à base de boeuf ou Préparation de viande hachée de boeuf, 15% MG, cru, prémeballé	ciqual_food_code	
7112	Sandwich loaf, bran grain	Pain de mie, au son	ciqual_food_code	
7602	Croissant	Croissant, sans précision	ciqual_food_code	
7737	Brioche, filled with chocolate	Brioche fourrée au chocolat	ciqual_food_code	
7741	Brioche	Brioche, sans précision	ciqual_food_code	ciqual_food_code
8602	Caen-style tripe, prepacked	Tripes à la mode de Caen, préemballées	ciqual_food_code	
9010	Wheat, whole, raw	Blé tendre entier ou froment, cru	ciqual_food_code	ciqual_food_code
9011	Wheat sprouted, raw	Blé germé, cru	ciqual_food_code	ciqual_food_code
9083	Durum wheat pre-cooked, whole grain, cooked, to pan-fry	Blé dur précuit, grains entiers, cuisiné, à poêler	ciqual_food_code	
9086	Asian noodles, plain, cooked, unsalted	Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées	ciqual_food_code	
9200	Corn or maize grain, raw	Maïs entier, cru	ciqual_food_code	ciqual_food_code
9311	Oatmeal flakes	Flocon d'avoine	ciqual_food_code	ciqual_food_code;ciqual_proxy_food_code
9647	Bran (average)	Son (aliment moyen)	ciqual_food_code	ciqual_food_code
10059	deep water pink shrimp, raw	Crevette rose, crue	ciqual_food_code	ciqual_food_code
12009	Soft-ripened round cheese with bloomy rind, 5 to 11% fat, Camembert-type cheese, reduced fat	Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse	ciqual_food_code	
12012	Soft-ripened round cheese with bloomy rind, around 11% fat, Coulommiers-type cheese, reduced fat	Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse	ciqual_food_code	
12013	Soft-ripened round cheese with bloomy rind, around 5% fat, Camembert-type cheese, reduced fat	Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse	ciqual_food_code	
12047	Soft-ripened washed-rind cheese, from pasteurised milk (Vieux pané-type cheese)	Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané)	ciqual_food_code	
12310	Processed cheese, around 20% fat, in wedges or cubes	Fromage fondu en portions ou en cubes environ 20% MG	ciqual_food_code	
12315	Uncured soft cheese, spreadable, around 25% fat, in a tub	Spécialité fromagère non affinée environ 25% MG, type fromage en barquette à tartiner ou coque fromagère	ciqual_food_code;ciqual_proxy_food_code	
12320	Processed cheese, double cream, around 31% fat	Fromage fondu double crème, environ 31% MG	ciqual_food_code	
12340	Uncured soft cheese, spreadable, around 20% fat, in a tub	Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère	ciqual_food_code	
