Pays,"Score
Politique environnementale",Score Transport - France,"Score
Transport - Belgique","Score
Transport - Allemagne","Score
Transport - Irlande",Score Transport - Italie,"Score
Transport - Luxembourg","Score
Transport - Pays-Bas","Score
Transport - Espagne","Score
Transport - Suisse"
Afghanistan,0,0,0,0,0,0,0,0,0,0
Afrique du Sud,0,0,0,0,0,0,0,0,0,0
Albanie,7,46,52,54,42,58,7,53,78,26
Algérie,0,31,49,49,37,56,40,48,71,49
Allemagne,85,63,75,100,30,52,84,82,47,64
Andorre,50,59,42,18,4,48,43,34,69,16
Angola,0,0,0,0,0,0,0,0,0,0
Anguilla,50,47,47,47,38,33,38,46,49,25
Antarctique,50,0,0,0,0,0,0,0,0,0
Antigua-et-Barbuda,5,53,47,47,37,32,38,46,49,25
Antilles néerlandaises,50,52,38,38,54,23,29,37,41,16
Arabie Saoudite,0,0,20,20,7,24,11,19,32,17
Argentine,16,0,0,0,0,0,0,0,0,0
Arménie,16,21,3,3,0,20,0,2,26,13
Aruba,50,53,30,30,21,15,21,30,33,8
Australie,79,0,0,0,0,0,0,0,0,0
Autriche,92,65,45,58,16,63,53,44,51,61
Azerbaïdjan,0,18,4,4,0,21,0,3,27,14
Bahamas,0,54,43,43,34,25,34,43,42,18
Bahreïn,12,29,44,44,31,48,35,43,56,40
Bande de Gaza,50,61,46,36,24,53,28,35,59,46
Bangladesh,0,13,26,26,13,30,17,23,38,22
Barbade,0,57,46,45,35,32,37,45,48,25
Belgique,74,85,100,76,51,45,89,92,21,71
Belize,0,44,24,24,15,8,15,24,24,1
Bénin,0,30,16,16,4,8,7,16,24,1
Bermudes,50,0,54,54,45,36,46,54,53,29
Bhoutan,0,0,0,0,0,1,0,0,9,0
Biélorussie,18,37,7,34,37,1,8,13,31,6
Bolivie,0,0,0,0,0,0,0,0,0,0
Bosnie-Herzégovine,0,43,21,28,30,58,27,21,66,40
Botswana,0,0,0,0,0,0,0,0,0,0
Brésil,13,0,0,0,0,0,0,0,0,0
Brunei,50,0,19,18,6,22,10,18,0,15
Bulgarie,29,15,25,25,13,42,16,24,49,35
Burkina Faso,0,0,0,0,0,0,0,0,7,0
Burundi,0,0,0,0,0,0,0,0,0,0
Cambodge,0,0,5,5,0,9,0,5,17,2
Cameroun,0,1,12,12,0,4,3,11,20,0
Canada,68,0,0,0,0,0,0,0,0,0
Cap-Vert,50,65,64,64,52,54,55,63,72,47
Chili,24,0,0,0,0,0,0,0,0,0
