label_fr	label_id	primary_ingredient_fr	primary_ingredient_id	footprint
agriculture biologique	en:organic	cacao	en:cocoa	90
agriculture biologique	en:organic	café	en:coffee	90
agriculture biologique	en:organic	huile de palme	en:palm-oil	90
rspo	en:roundtable-on-sustainable-palm-oil	huile de palme	en:palm-oil	50
commerce équitable	en:fair-trade	cacao	en:cocoa	15
commerce équitable	en:fair-trade	café	en:coffee	15
commerce équitable	en:fair-trade	huile de palme	en:palm-oil	15
bio-equitable en france	fr:bio-equitable-en-france	cacao	en:cocoa	15
bio-equitable en france	fr:bio-equitable-en-france	café	en:coffee	15
bio-equitable en france	fr:bio-equitable-en-france	huile de palme	en:palm-oil	15
rainforest	en:rainforest-alliance	cacao	en:cocoa	15
rainforest	en:rainforest-alliance	café	en:coffee	15
rainforest	en:rainforest-alliance	huile de palme	en:palm-oil	15
utz	en:utz-certified	cacao	en:cocoa	15
utz	en:utz-certified	café	en:coffee	15
utz	en:utz-certified	huile de palme	en:palm-oil	15
fairtrade international	en:fairtrade-international	cacao	en:cocoa	12
fairtrade international	en:fairtrade-international	café	en:coffee	12
fairtrade international	en:fairtrade-international	huile de palme	en:palm-oil	12
fair for life	en:fair-for-life	cacao	en:cocoa	12
fair for life	en:fair-for-life	café	en:coffee	12
fair for life	en:fair-for-life	huile de palme	en:palm-oil	12
Symbole des Producteurs Paysans	en:small-producers-symbol	cacao	en:cocoa	10
Symbole des Producteurs Paysans	en:small-producers-symbol	café	en:coffee	10
Symbole des Producteurs Paysans	en:small-producers-symbol	huile de palme	en:palm-oil	10
				
