origin_fr	origin_id	cocoa.footprint	coffee.footprint	palm-oil.footprint
Inconnu		0,296	0,073	0,055
AGO		0,000	0,000	0,000
BDI			0,000	0,000
BEN			0,000	0,000
BLZ		0,000	0,000	0,000
BOL		0,000	0,000	0,000
BRA		0,393	0,073	0,051
CAF		0,000	0,000	0,000
CHN			0,000	0,000
CIV		0,296	0,781	0,073
CMR		0,481	0,386	0,055
COD		1,134	0,846	0,273
COG		0,311	0,236	0,014
COK			0,000	
COL		0,162	0,041	0,012
COM		0,000	0,000	0,000
CPV			0,000	
CRI		0,498	0,030	0,017
CUB		0,100	0,046	0,000
DMA		9,096	0,000	0,514
DOM		0,164	0,108	0,022
ECU		0,225	0,246	0,025
ETH			0,012	
FJI		0,022	0,001	
GAB		3,046	0,131	0,200
GHA		0,261	0,069	0,095
GIN		0,348	0,280	0,215
GMB				0,002
GNB				0,144
GNQ		11,800	1,706	0,758
GRD		0,090		
GTM		0,068	0,126	0,051
GUY		1,080	0,054	0,066
HND		0,806	0,168	0,065
HTI		0,053	0,038	0,003
IDN		0,865	0,438	0,055
IND		0,003	0,001	0,000
JAM		0,148	0,022	0,006
KEN			0,017	
KHM			0,047	0,080
LAO			0,771	
LBR		7,281	3,600	0,369
LCA		0,029		0,008
LKA		0,005	0,000	0,000
MDG		0,099	0,121	0,025
MEX		0,070	0,066	0,005
MMR			0,018	
MOZ			0,074	
MWI			0,003	
MYS		3,519	0,036	0,076
NCL			0,041	
NGA		0,153	0,022	0,056
NIC		0,439	0,145	0,060
NPL			0,001	
PAN		0,976	0,014	0,047
PER		0,155	0,095	0,023
PHL		0,207	0,012	0,028
PNG		0,349	0,092	0,035
 PRY		0,655	0,029	0,048
 PYF		1,089	0,000	
RWA		0,056	0,035	
SEN		0,000		0,003
SLB		90,798		0,059
SLE		0,045	0,258	0,236
SLV		0,036	0,048	0,005
STP		0,380	0,000	0,000
SUR		1,829	102,692	4,290
TGO		0,119	0,077	0,015
THA		0,183	0,019	0,018
TLS		0,117	0,193	
TON			0,000	
TTO		0,000	0,255	0,047
TZA		0,481	0,229	0,021
UGA		0,020	0,112	#N/A
USA			0,000	
VCT		0,000	0,027	
VEN			0,000	0,000
VNM			0,068	0,137
VUT			0,001	0,001
WSM			0,000	
YEM			0,000	
ZMB			0,141	
ZWE			0,067	
