origin_fr	origin_id	cocoa.footprint	coffee.footprint	palm-oil.footprint
 Inconnu	en:unknown	0,296	0,073	0,055
AGO	en:angola	0,000	0,000	0,000
BDI	en:burundi		0,000	0,000
BEN	en:benin		0,000	0,000
BLZ	en:belize	0,000	0,000	0,000
BOL	en:bolivia	0,000	0,000	0,000
BRA	en:brazil	0,393	0,073	0,051
CAF	en:central-african-republic	0,000	0,000	0,000
CHN	en:china		0,000	0,000
CIV	en:cote-d-ivoire	0,296	0,781	0,073
CMR	en:cameroon	0,481	0,386	0,055
COD	en:democratic-republic-of-the-congo	1,134	0,846	0,273
COG	en:republic-of-the-congo	0,311	0,236	0,014
COK	en:cook-islands		0,000	
COL	en:colombia	0,162	0,041	0,012
COM	en:comoros	0,000	0,000	0,000
CPV	en:cape-verde		0,000	
CRI	en:costa-rica	0,498	0,030	0,017
CUB	en:cuba	0,100	0,046	0,000
DMA	en:dominica	9,096	0,000	0,514
DOM	en:dominican-republic	0,164	0,108	0,022
ECU	en:ecuador	0,225	0,246	0,025
ETH	en:ethiopia		0,012	
FJI	en:fiji	0,022	0,001	
GAB	en:gabon	3,046	0,131	0,200
GHA	en:ghana	0,261	0,069	0,095
GIN	en:guinea	0,348	0,280	0,215
GMB	en:gambia			0,002
GNB	en:guinea-bissau			0,144
GNQ	en:equatorial-guinea	11,800	1,706	0,758
GRD	en:grenada	0,090		
GTM	en:guatemala	0,068	0,126	0,051
GUY	en:guyana	1,080	0,054	0,066
HND	en:honduras	0,806	0,168	0,065
HTI	en:haiti	0,053	0,038	0,003
IDN	en:indonesia	0,865	0,438	0,055
IND	en:india	0,003	0,001	0,000
JAM	en:jamaica	0,148	0,022	0,006
KEN	en:kenya		0,017	
KHM	en:cambodia		0,047	0,080
LAO	en:laos		0,771	
LBR	en:liberia	7,281	3,600	0,369
LCA	en:saint-lucia	0,029		0,008
LKA	en:sri-lanka	0,005	0,000	0,000
MDG	en:madagascar	0,099	0,121	0,025
MEX	en:mexico	0,070	0,066	0,005
MMR	en:myanmar		0,018	
MOZ	en:mozambique		0,074	
MWI	en:malawi		0,003	
MYS	en:malaysia	3,519	0,036	0,076
NCL	en:new-caledonia		0,041	
NGA	en:nigeria	0,153	0,022	0,056
NIC	en:nicaragua	0,439	0,145	0,060
NPL	en:nepal		0,001	
PAN	en:panama	0,976	0,014	0,047
PER	en:peru	0,155	0,095	0,023
PHL	en:philippines	0,207	0,012	0,028
PNG	en:papua-new-guinea	0,349	0,092	0,035
 PRY	en:paraguay	0,655	0,029	0,048
 PYF	en:french-polynesia	1,089	0,000	
RWA	en:rwanda	0,056	0,035	
SEN	en:senegal	0,000		0,003
SLB	en:solomon-islands	90,798		0,059
SLE	en:sierra-leone	0,045	0,258	0,236
SLV	en:el-salvador	0,036	0,048	0,005
STP	en:sao-tome-and-principe	0,380	0,000	0,000
SUR	en:suriname	1,829	102,692	4,290
TGO	en:togo	0,119	0,077	0,015
THA	en:thailand	0,183	0,019	0,018
TLS	en:timor-leste	0,117	0,193	
TON	en:tonga		0,000	
TTO	en:trinidad-and-tobago	0,000	0,255	0,047
TZA	en:tanzania	0,481	0,229	0,021
UGA	en:uganda	0,020	0,112	#N/A
USA	en:united-states		0,000	
VCT	en:saint-vincent-and-the-grenadines	0,000	0,027	
VEN	en:venezuela		0,000	0,000
VNM	en:vietnam		0,068	0,137
VUT	en:vanuatu		0,001	0,001
WSM	en:samoa		0,000	
YEM	en:yemen		0,000	
ZMB	en:zambia		0,141	
ZWE	en:zimbabwe		0,067	
