alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_eng,alim_ssgrp_nom_eng,alim_ssssgrp_nom_eng,alim_code,alim_nom_eng,alim_nom_sci,"Energy, Regulation EU No 1169/2011 (kJ/100g)","Energy, Regulation EU No 1169/2011 (kcal/100g)","Energy, N x Jones' factor, with fibres (kJ/100g)","Energy, N x Jones' factor, with fibres (kcal/100g)",Water (g/100g),Protein (g/100g),"Protein, crude, N x 6.25 (g/100g)",Carbohydrate (g/100g),Fat (g/100g),Sugars (g/100g),fructose (g/100g),galactose (g/100g),glucose (g/100g),lactose (g/100g),maltose (g/100g),sucrose (g/100g),Starch (g/100g),Fibres (g/100g),Polyols (g/100g),Ash (g/100g),Alcohol (g/100g),Organic acids (g/100g),FA saturated (g/100g),FA mono (g/100g),FA poly (g/100g),FA 4:0 (g/100g),FA 6:0 (g/100g),FA 8:0 (g/100g),FA 10:0 (g/100g),FA 12:0 (g/100g),FA 14:0 (g/100g),FA 16:0 (g/100g),FA 18:0 (g/100g),FA 18:1 n-9 cis (g/100g),"FA 18:2 9c,12c (n-6) (g/100g)","FA 18:3 c9,c12,c15 (n-3) (g/100g)","FA 20:4 5c,8c,11c,14c (n-6) (g/100g)","FA 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","FA 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholesterol (mg/100g),Salt (g/100g),Calcium (mg/100g),Chloride (mg/100g),Copper (mg/100g),Iron (mg/100g),Iodine (µg/100g),Magnesium (mg/100g),Manganese (mg/100g),Phosphorus (mg/100g),Potassium (mg/100g),Selenium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Retinol (µg/100g),Beta-carotene (µg/100g),Vitamin D (µg/100g),Vitamin E (mg/100g),Vitamin K1 (µg/100g),Vitamin K2 (µg/100g),Vitamin C (mg/100g),Vitamin B1 or Thiamin (mg/100g),Vitamin B2 or Riboflavin (mg/100g),Vitamin B3 or Niacin (mg/100g),Vitamin B5 or Pantothenic acid (mg/100g),Vitamin B6 (mg/100g),Vitamin B9 or Folate (µg/100g),Vitamin B12 (µg/100g)
09,0900,000000,cereals and derived products,cereals and derived products,,A001,"Amaranth seed, black",Amaranthus cruentus,1490,356.1,-,-,9.89,14.59,14.59,59.98,5.74,0.88,0.1,-,0.22,-,0.1,0.46,55.83,7.02,-,2.78,-,0.05604,1.28,1.033,2.279,-,-,-,-,-,0.01564,1.043,0.155,1.02,2.259,0.02091,-,-,-,-,0.006858,181,-,0.81,9.33,-,325,5.29,374,433,16.46,2.7,2.66,-,-,58.67,0.17,1.8,-,-,0.04,0.04,0.45,0.24,0.5,27.44,-
09,0900,000000,cereals and derived products,cereals and derived products,,A002,"Amaranth seed, pale brown (Amaranthus Moricha guti",-,1489,355.9,-,-,9.2,13.27,13.27,61.46,5.56,0.8,0.1,-,0.22,-,-,0.48,59.33,7.47,-,3.05,-,0.05712,1.14,1.043,2.266,-,-,-,-,-,0.01068,0.891,0.172,1.03,2.223,0.04303,-,-,-,-,0.007137,162,-,0.56,8.02,-,270,4.44,412,413,21.41,2.81,2.52,-,-,53.98,0.15,2.5,-,-,0.04,0.04,0.52,0.28,0.33,24.65,-
09,0900,000000,cereals and derived products,cereals and derived products,,A003,Bajra,Pennisetum typhoideum,1456,348,-,-,8.97,10.96,10.96,61.78,5.43,0.81,0.21,-,0.6,-,-,-,55.21,11.49,-,1.37,-,0.00287,0.875,1.047,1.984,-,-,-,-,-,-,0.729,0.128,1.04,1.844,0.14,-,-,-,-,0.01044,27.35,-,0.54,6.42,-,124,1.12,289,365,30.4,4.11,2.76,-,28.23,5.65,0.24,2.85,-,-,0.25,0.2,0.86,0.5,0.27,36.11,-
09,0900,000000,cereals and derived products,cereals and derived products,,A004,Barley,Hordeum vulgare,1321,315.7,-,-,9.77,10.94,10.94,61.29,1.3,0.06,-,-,0.06,-,-,-,72.67,15.64,-,1.06,-,0.00431,0.232,0.09079,0.575,-,-,-,-,-,-,0.209,0.02335,0.09079,0.549,0.02632,-,-,-,-,0.0192,28.64,-,0.43,1.56,-,48.97,1.24,178,268,18.61,7.56,1.5,-,-,-,0.01,1.85,-,-,0.36,0.18,2.84,0.14,0.31,31.58,-
09,0900,000000,cereals and derived products,cereals and derived products,,A005,Jowar,Sorghum vulgare,1398,334.1,-,-,9.01,9.97,9.97,67.68,1.73,1.27,0.57,-,0.1,-,-,0.6,59.7,10.22,-,1.39,-,0.00623,0.163,0.314,0.524,-,-,-,-,-,-,0.149,0.01422,0.314,0.508,0.01654,-,-,-,-,0.01377,27.6,-,0.45,3.95,-,133,1.19,274,328,26.29,5.42,1.96,-,8.29,3.96,0.06,43.82,-,-,0.35,0.14,2.1,0.27,0.28,39.42,-
09,0900,000000,cereals and derived products,cereals and derived products,,A006,"Maize, dry",Zea mays,1398,334.1,-,-,9.26,8.8,8.8,64.77,3.77,1.66,0.16,-,0.8,-,-,0.7,59.35,12.24,-,1.17,-,0.00403,0.413,0.706,1.606,-,-,-,-,-,-,0.363,0.04245,0.7,1.565,0.04076,-,-,-,-,0.01128,-,-,-,-,-,145,0.71,279,291,8.69,4.44,2.27,-,-,33.6,0.36,2.5,-,-,0.33,0.09,2.69,0.34,0.34,25.81,-
09,0900,000000,cereals and derived products,cereals and derived products,,A007,"Maize, tender, local",Zea mays,502,120,-,-,68.29,3.57,3.57,22.69,1.4,1.47,0.27,-,0.8,-,-,0.4,15.88,3.67,-,0.38,-,0.00676,0.109,0.147,0.347,-,-,-,-,-,-,0.09613,0.01088,0.145,0.337,0.01046,-,-,-,-,0.00569,6.35,-,0.18,0.71,-,47.62,0.36,163,167,3.83,2.24,0.97,-,36.27,42.34,0.09,2,-,4.26,0.17,0.12,1.13,0.35,0.45,62.96,-
09,0900,000000,cereals and derived products,cereals and derived products,,A008,"Maize, tender, sweet",Zea mays,405,96.8,-,-,74.4,4.16,4.16,16.42,1.35,4.67,0.91,-,0.97,-,-,2.79,7.45,3.3,-,0.36,-,0.00556,0.123,0.176,0.3,-,-,-,-,-,-,0.106,0.01436,0.174,0.292,0.00765,-,-,-,-,0.005664,6.37,-,0.11,0.54,-,36.51,0.32,121,297,2.17,2.23,0.77,-,47.01,16.94,0.1,1.8,-,5.72,0.1,0.14,1.14,0.32,0.38,59.71,-
09,0900,000000,cereals and derived products,cereals and derived products,,A009,Quinoa,Chenopodium quinoa,1374,328.4,-,-,10.43,13.11,13.11,53.65,5.5,1.41,-,-,1.41,-,-,-,48.41,14.66,-,2.65,-,0.02737,0.57,1.424,2.406,-,-,-,-,-,0.08276,0.434,0.05288,1.323,2.203,0.204,-,-,-,-,0.01143,198,-,0.48,7.51,-,119,1.77,212,474,7.81,4.5,3.31,-,5.12,-,2.39,2,-,-,0.83,0.22,1.7,0.62,0.21,173,-
09,0900,000000,cereals and derived products,cereals and derived products,,A010,Ragi,Eleusine coracana,1342,320.7,-,-,10.89,7.16,7.16,66.82,1.92,0.37,-,-,0.25,-,-,0.12,62.13,11.18,-,2.04,-,0.00444,0.317,0.585,0.431,-,-,-,-,-,-,0.29,0.02786,0.585,0.362,0.06858,-,-,-,-,0.01206,364,-,0.67,4.62,-,146,3.19,210,443,15.3,4.75,2.53,-,1.53,41.46,0.16,3,-,-,0.37,0.17,1.34,0.29,0.05,34.66,-
09,0900,000000,cereals and derived products,cereals and derived products,,A011,"Rice, flakes",Oryza sativa,1480,353.7,-,-,10.36,7.44,7.44,76.75,1.14,0.34,-,-,0.2,-,-,0.14,68.06,3.46,-,0.85,-,0.00311,0.284,0.425,0.577,-,-,-,-,-,-,0.261,0.02368,0.425,0.553,0.02437,-,-,-,-,0.006553,9.19,-,0.26,4.46,-,77.92,0.89,195,148,-,2.58,1.49,-,-,-,0.05,1,-,-,0.12,0.04,1.6,0.48,0.02,8.46,-
09,0900,000000,cereals and derived products,cereals and derived products,,A012,"Rice, puffed",Oryza sativa,-,-,-,-,-,-,-,-,-,0.64,-,-,0.49,-,-,0.15,69.25,-,-,-,-,0.00224,0.04684,0.03977,0.0448,-,-,-,-,-,-,0.04329,0.00355,0.03977,0.04342,0.00139,-,-,-,-,0.009373,15.09,-,0.25,4.55,-,64.59,0.91,152,140,-,3.69,1.45,-,-,-,0.04,1,-,-,0.11,0.04,1.87,0.38,0.07,-,-
09,0900,000000,cereals and derived products,cereals and derived products,,A013,"Rice, raw, brown",Oryza sativa,1480,353.7,-,-,9.33,9.16,9.16,74.8,1.24,0.69,-,-,0.55,-,-,0.14,71.31,4.43,-,1.04,-,0.00407,0.346,0.203,0.506,-,-,-,0.00139,-,0.03042,0.273,0.03301,0.197,0.49,0.0161,-,-,-,-,0.009246,10.93,-,0.37,1.02,-,93.91,1.7,267,199,2.26,3.64,1.68,-,-,-,0.69,2,-,-,0.27,0.06,3.4,0.61,0.37,11.51,-
09,0900,000000,cereals and derived products,cereals and derived products,,A014,"Rice, parboiled, milled",Oryza sativa,1471,351.6,-,-,10.09,7.81,7.81,77.16,0.55,-,-,-,-,-,-,-,-,3.74,-,0.65,-,0.00215,0.15,0.08666,0.216,-,-,-,0.00063,-,0.01322,0.12,0.01383,0.08409,0.209,0.00718,-,-,-,-,0.008026,-,-,-,-,-,26.72,0.79,140,142,1.19,3.16,1.08,-,-,-,-,-,-,-,0.17,0.06,2.51,0.55,0.22,9.75,-
09,0900,000000,cereals and derived products,cereals and derived products,,A015,"Rice, raw, milled",Oryza sativa,1491,356.4,-,-,9.93,7.94,7.94,78.24,0.52,0.69,-,-,0.54,-,-,0.15,75.7,2.81,-,0.56,-,-,0.184,0.117,0.253,-,-,-,0.00085,-,0.01319,0.143,0.0145,0.109,0.234,0.00951,-,-,-,-,0.005944,7.49,-,0.23,0.65,-,19.3,0.73,96,108,1.01,2.34,1.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09,0900,000000,cereals and derived products,cereals and derived products,,A016,Samai,Panicum miliare,-,-,-,-,-,-,-,-,-,0.37,-,-,0.24,-,-,0.13,56.07,-,-,-,-,0.0093,0.589,0.868,1.277,-,-,-,-,-,-,-,-,-,1.23,0.0472,-,-,-,-,0.01212,-,-,-,-,-,91.41,0.23,130,105,40.41,4.77,1.82,-,1.91,-,-,-,-,-,-,-,-,-,-,-,-
09,0900,000000,cereals and derived products,cereals and derived products,,A017,Varagu,Paspalum scrobiculatum,1388,331.7,-,-,14.23,8.92,8.92,66.19,2.55,1.29,-,-,0.89,-,-,0.4,64.96,6.39,-,1.72,-,0.00258,0.246,0.297,0.597,-,-,-,-,-,-,0.211,0.0284,0.291,0.576,0.02102,-,-,-,-,0.008509,-,-,-,-,-,122,0.33,101,94,14.12,3.35,1.65,-,1.41,-,0.07,3.75,-,-,0.29,0.2,1.49,0.63,0.07,39.49,-
