E100	Curcumine, Turmérique	(Turmérique)
E1000	Acide cholique	(Acide cholique (Emulsifiant))
E1001	Sels et esters de choline, Acétate de choline, Carbonate de choline, Chlorure de choline, Citrate de choline, Tartrate de choline, Lactate de choline	(Lactate de choline, émulsifiant)
E101	Riboflavine, vitamine B2, Bacillus subtilis	(Riboflavine (Bacillus subtilis))
E101a	5'-phosphate sodique de riboflavine	(5'-phosphate sodique de riboflavine)
E102	Tartrazine	(Tartrazine)
E103	Jaune chrysoïne	(Jaune chrysoïne)
E104	Jaune de quinoléine	(Jaune de quinoléine)
E105	Jaune solide	(Jaune solide)
E106	Riboflavine-5-Sodium Phosphate, vitamine B2	(Riboflavine-5-Sodium Phosphate,vitamine B2)
E107	Jaune 2G	(Jaune 2G)
E110	Jaune orangé S	(Jaune orangé S)
E1100	Amylases	(Amylases, agent de traitement des farines)
E1101	Protéases, Protéase, Papaïne, Bromélaïne, Ficine	(Ficine, agent de traitement des farines, stabilisant, exaltateur d’arôme)
E1102	Glucose oxydase	(Glucose oxydase, antioxydant)
E1103	Invertase	(Invertase (Stabilisant))
E1104	Lipases	(Lipases, exaltateur d’arôme)
E1105	Lysozyme	(Lysozyme (Agent de conservation))
E111	Orange GGN, Alpha-naphthol	(Orange GGN, Alpha-naphthol)
E120	Acide carminique, ou carmin, Rouge cochenille	(Acide carminique (ou carmin ou Rouge cochenille))	L'acide carminique est un colorant rouge extrait de cochenilles, insectes vivants dans les cactus du Mexique.
E1200		()
E1201	Poly vinyl pyrrolidone	(Poly vinyl pyrrolidone (Raffermissant, stabilisant, dispersant))
E1202		()
E1203	Alcool polyvinylique	(Alcool polyvinylique (Agent d’enrobage, liant, agent de conditionnement hermétique, agent de finition superficielle))
E1204	Pullulane	(Pullulane)
E121	Rouge citrus no.2	(Rouge citrus no.2)
E122	Azorubine, ou carmoisine	(Azorubine (ou carmoisine))
E123	Amarante	(Amarante)
E124	Ponceau 4R, Rouge cochenille A	(Ponceau 4R, Rouge cochenille A)
E125	Ponceau SX, Écarlate GN	(Ponceau SX, Écarlate GN)
E126	Ponceau GR	(Ponceau GR)
E127	Érythrosine	(Érythrosine)
E128	Rouge 2G	(Rouge 2G)
E129	Rouge allura AC	(Rouge allura AC)
E130	Manascorubine	(Manascorubine)
E131	Bleu patenté V	(Bleu patenté V)
E132	Indigotine, ou carmin d'indigo	(Indigotine (ou carmin d'indigo))
E133	Bleu brillant FCF	(Bleu brillant FCF)
E140	Chlorophyllines	(Chlorophyllines)
E1400	Dextrines, amidon torréfie	(Dextrines, amidon torréfie, stabilisant, épaississant, liant, émulsifiant)
E1401	Amidon traité aux acides	(Amidon traité aux acides, stabilisant, épaississant, liant, émulsifiant)
E1402	Amidon traité aux alcalis	(Amidon traité aux alcalis, stabilisant, épaississant, liant, émulsifiant)
E1403	Amidon blanchi	(Amidon blanchi, stabilisant, épaississant, liant, émulsifiant)
E1404	Amidon oxydé	(Amidon oxydé (Gélifiant, épaississant))
E1405	Amidons traités aux enzymes	(Amidons traités aux enzymes, stabilisant, épaississant, liant, émulsifiant)
E140a	Chlorophylles, Phéophytine au magnésium	(Chlorophylles, Phéophytine au magnésium)
E140b	Chlorophyllines	(Chlorophyllines)
E141		(15)
E1410	Phosphate d'amidon	(Phosphate d'amidon (Gélifiant, épaississant))
E1411	Glycérol de diamidon	(Glycérol de diamidon (Gélifiant, épaississant))
E1412	Phosphate de diamidon	(Phosphate de diamidon (Gélifiant, épaississant))
E1413	Phosphate de diamidon phosphaté	(Phosphate de diamidon phosphaté (Gélifiant, épaississant))
E1414	Phosphate de diamidon acétylé	(Phosphate de diamidon acétylé (Gélifiant, épaississant))
E142	Vert acide brillant BS, Vert lissamine	(Vert acide brillant BS, Vert lissamine)
E1420	Amidon acétylé	(Amidon acétylé (Gélifiant, épaississant))
E1421	Amidon acétylé à acétate de vinyle	(Amidon acétylé à acétate de vinyle)
E1422	Adipate de diamidon acétylé	(Adipate de diamidon acétylé (Gélifiant, épaississant))
E1423	Glycérol de diamidon acétylé	(Glycérol de diamidon acétylé (Gélifiant, épaississant))
E143	Vert solide FCF	(Vert solide FCF)
E1430	Diamidon glycériné	(Diamidon glycériné)
E1440	Amidon hydroxypropyle	(Amidon hydroxypropyle (Gélifiant, épaississant))
E1441	Glycérine de diamidon hydroxypropylé, hydroxy-propylique	(Glycérine de diamidon hydroxypropylé ou hydroxy-propylique)
E1442	Phosphate de diamidon hydroxypropyle	(Phosphate de diamidon hydroxypropyle (Gélifiant, épaississant))
E1443	Glycérol de diamidon hydroxypropyle	(Glycérol de diamidon hydroxypropyle (Gélifiant, épaississant))
E1450	Octényle succinate d’amidon sodique	(Octényle succinate d’amidon sodique (Stabilisant, épaississant, liant, émulsifiant))
E1451	Amidon oxydé acétylé	(Amidon oxydé acétylé (Stabilisant, épaississant, liant, émulsifiant))
E1452	Succinate octenylique aluminique d'amidon	(Succinate octenylique aluminique d'amidon, anticaking agent, carrier, stabilisant)
E150	Caramel	(Caramel)
E1503	Huile de ricin	(Huile de ricin, solvant de support, anti-agglomérant, agent de glaçage)
E1504	Acétate d'éthyle	(Acétate d'éthyle)
E1505	Citrate de triéthyle	(Citrate de triéthyle (Stabilisant de mousse))
E150a	Caramels	(Caramels)
E150b	Caramel de sulfite caustique, Sulfite de soude	(Caramel de sulfite caustique, Sulfite de soude)
E150c	Caramel ammoniacal	(Caramel ammoniacal)
E150d	Caramel au sulfite d'ammonium	(Caramel au sulfite d'ammonium)
E151	Noir brillant BN, Noir PN	(Noir brillant BN, Noir PN)
E1510	Éthanol	(Éthanol)
E1517	Diacétine, Diacétate de glycéryle, Glyceroldiacétate	(Diacétine, Diacétate de glycéryle, Glyceroldiacétate)
E1518	Triacétine, Triacétate de glycéryle	(Triacétine, (Triacétate de glycéryle) (Humectant))
E1519	Alcool benzylique	(Alcool benzylique)
E152	Noir de carbone, Hydrocarbure	(Noir de carbone (Hydrocarbure))
E1520	Propylène glycol, propane diol - 1	(Propylène glycol (propane diol - 1,2) (Humectant, mouillant, dispersant))
E1521	Polyéthylène glycol, Macrogol, poly ethane diol - 1	(Polyéthylène glycol, Macrogol (poly ethane diol - 1,2) (antimoussant))
E153	Charbon végétal médicinal	(Charbon végétal médicinal)
E154	Brun FK	(Brun FK)
E155	Brun chocolat HT	(Brun chocolat HT)
