 Section 	 Section Descr. FR	No agrément	Dénomination	street_address	city	 Catégorie 	Activité associée 	 Espèce	 Remarques 	Adresse	slugadresse	lat	lng
0	Etablissements activité générale	KF1	Amnimeat B.V.B.A.	Rue Ropsy Chaudron  24 b 5	1070 Anderlecht	CS	CP, PP			Rue Ropsy Chaudron  24 b 5 ,1070 Anderlecht	Rue Ropsy Chaudron  24 b 5 , 1070 Anderlecht , Belgium	50,8429295	4,3291257
0	Etablissements activité générale	KF10	Eurofrost NV	Izegemsestraat(Heu)  412 	8501 Heule	CS				Izegemsestraat(Heu)  412  ,8501 Heule	Izegemsestraat  412  , 8501 Heule , Belgium	50,8546644	3,2525804
0	Etablissements activité générale	KF100	BARIAS	Veldbosstraat  2 	8800 Roeselare	CS	FFPP, PP			Veldbosstraat  2  ,8800 Roeselare	Veldbosstraat  2  , 8800 Roeselare , Belgium	50,9421112	3,0920291
0	Etablissements activité générale	KF100104	LA MAREE HAUTE	Quai de Mariemont  38 	1080 Molenbeek-Saint-Jean	CS	FFPP			Quai de Mariemont  38  ,1080 Molenbeek-Saint-Jean	Quai de Mariemont  38  , 1080 Molenbeek-Saint-Jean , Belgium	50,8475274	4,3295152
0	Etablissements activité générale	KF100109	maatWERKbedrijf BWB	Nijverheidsstraat  15/2 	1840 Londerzeel	CS	MP, PP, RW			Nijverheidsstraat  15/2  ,1840 Londerzeel	Nijverheidsstraat  15/2  , 1840 Londerzeel , Belgium	51,0115695	4,3252876
0	Etablissements activité générale	KF100109	maatWERKbedrijf BWB	Nijverheidsstraat  15/2 	1840 Londerzeel	RW	CS, MP, PP			Nijverheidsstraat  15/2  ,1840 Londerzeel	Nijverheidsstraat  15/2  , 1840 Londerzeel , Belgium	51,0115695	4,3252876
0	Etablissements activité générale	KF100159	LA BOUCHERIE SA	Rue Bollinckx  45 	1070 Anderlecht	CS	CP, GHE, MM, MP, PP			Rue Bollinckx  45  ,1070 Anderlecht	Rue Bollinckx  45  , 1070 Anderlecht , Belgium	50,8205136	4,3068904
0	Etablissements activité générale	KF100210	H.G.C.-HANOS	Herkenrodesingel  81 	3500 Hasselt	CS	CC, PP, CP, FFPP, MP			Herkenrodesingel  81  ,3500 Hasselt	Herkenrodesingel  81  , 3500 Hasselt , Belgium	50,9422238	5,3270755
0	Etablissements activité générale	KF100210	Van der Zee België BVBA	Herkenrodesingel  81 	3500 Hasselt	CS	CP, MP			Herkenrodesingel  81  ,3500 Hasselt	Herkenrodesingel  81  , 3500 Hasselt , Belgium	50,9422238	5,3270755
0	Etablissements activité générale	KF100227	CARDON LOGISTIQUE	Rue du Mont des Carliers(BL)  S/N 	7522 Tournai	CS				Rue du Mont des Carliers(BL)  S/N  ,7522 Tournai	Rue du Mont des Carliers  S/N  , 7522 Tournai , Belgium	50,6190318	3,3238982
0	Etablissements activité générale	KF100350	HUIS PATRICK	Ambachtenstraat(LUB)  7 	3210 Lubbeek	CS	FFPP, RW			Ambachtenstraat(LUB)  7  ,3210 Lubbeek	Ambachtenstraat  7  , 3210 Lubbeek , Belgium	50,8939787	4,7976536
0	Etablissements activité générale	KF100350	HUIS PATRICK	Ambachtenstraat(LUB)  7 	3210 Lubbeek	RW	CS, FFPP			Ambachtenstraat(LUB)  7  ,3210 Lubbeek	Ambachtenstraat  7  , 3210 Lubbeek , Belgium	50,8939787	4,7976536
0	Etablissements activité générale	KF100378	Partner Logistics Ieper BVBA	Bargiestraat  5 	8900 Ieper	CS				Bargiestraat  5  ,8900 Ieper	Bargiestraat  5  , 8900 Ieper , Belgium	50,8912627	2,8724029
0	Etablissements activité générale	KF100398	BOURGONJON	Nijverheidskaai  18 b B	9040 Gent	CS	CP, MP, RW			Nijverheidskaai  18 b B ,9040 Gent	Nijverheidskaai  18 b B , 9040 Gent , Belgium	51,048191	3,7597719
0	Etablissements activité générale	KF100398	BOURGONJON	Nijverheidskaai  18 b B	9040 Gent	RW	CP, CS, MP			Nijverheidskaai  18 b B ,9040 Gent	Nijverheidskaai  18 b B , 9040 Gent , Belgium	51,048191	3,7597719
0	Etablissements activité générale	KF1004	PLUKON MOUSCRON	Avenue de l'Eau Vive(L)  5 	7700 Mouscron/Moeskroen	CS	CP, SH			Avenue de l'Eau Vive(L)  5  ,7700 Mouscron/Moeskroen	Avenue de l Eau Vive  5  , 7700 Mouscron/Moeskroen , Belgium	50,7438514	3,2568604
0	Etablissements activité générale	KF100590	D.S. PRODUKTEN	Hoeikensstraat  5 b 107	2830 Willebroek	CS				Hoeikensstraat  5 b 107 ,2830 Willebroek	Hoeikensstraat  5 b 107 , 2830 Willebroek , Belgium	51,074892	4,348644
0	Etablissements activité générale	KF100624	Bell Logistics NV	Z. 3 Doornveld  70 	1731 Asse	CS	RW			Z. 3 Doornveld  70  ,1731 Asse	Z. 3 Doornveld  70  , 1731 Asse , Belgium	50,8905578	4,2608636
0	Etablissements activité générale	KF100634	Linca Food	Boskouter  7 	9620 Zottegem	CS	CP			Boskouter  7  ,9620 Zottegem	Boskouter  7  , 9620 Zottegem , Belgium	50,8830788	3,8167901
0	Etablissements activité générale	KF100677	DE WILDE EIEREN KAAS & ZUIVEL	Hoogkamerstraat  22 	9100 Sint-Niklaas	CS	CC, PP			Hoogkamerstraat  22  ,9100 Sint-Niklaas	Hoogkamerstraat  22  , 9100 Sint-Niklaas , Belgium	51,1438263	4,1828878
0	Etablissements activité générale	KF100779	J.PROOST  JEPRO	Wechelsebaan  50 	2275 Lille	CS	CP, MP, PP			Wechelsebaan  50  ,2275 Lille	Wechelsebaan  50  , 2275 Lille , Belgium	51,2444529	4,8215611
