Code;Latitude;Longitude;Bew.-Nr.;Bur Number;Firmenname;Company Street;full address;Company Zipcode;Company City/Region;[TRANSLATE] Category;Weitere Aktivitäten;[TRANSLATE] Species;[TRANSLATE] Remarks
CH 74021004;47,50079;9,4345481;74021004;74021004;Hügli Nährmittel AG;Industriestrasse15;Hügli Nährmittel AG, Industriestrasse15, 9015, Switzerland ;9015;9015 SG;CS, RW;PP(VI), PP(VIII), PP(IX), PP(X);;
CH 5124;47,407625;9,119672;5124;42650240;Hungerbühler Walter;Oberrindal57;Hungerbühler Walter, Oberrindal57, 9604, Switzerland ;9604;9604 SG;RW;PP(IX);;
CH 115;47,4273792;9,6274115;115;42135665;Spiess Gustav AG;Musterplatzstr.2;Spiess Gustav AG, Musterplatzstr.2, 9442, Switzerland ;9442;9442 SG;CS, RW;SH(I), CP(I), MP(V), PP(VI);;
CH 2141;46,0342094;8,9304425;2141;40130528;Bernasconi SA;via Industria11;Bernasconi SA, via Industria11, 6814, Switzerland ;6814;6814 TI;RW, WM;PP(VI);;
CH 038;47,4742676;9,4806757;038;71445115;Nestlé Suisse S.A. Fabrik Rorschach / Zentrallager;Blumenfeldstrasse15;Nestlé Suisse S.A. Fabrik Rorschach / Zentrallager, Blumenfeldstrasse15, 9403, Switzerland ;9403;9403 SG;CS, RW;CP(I), CP(II), CP(III), MM(V), MP(V), PP(IX), PP(X), PP(XII);;
CH 340;46,8656147;7,1201865;340;51963654;Micarna SA;rte de l'Industrie25;Micarna SA, rte de l'Industrie25, 1784, Switzerland ;1784;1784 FR;RW, WM;SH(I), CP(I), CP(II), CP(III), CP(IV), MM(V), MP(V), PP(VI);;
CH 5414;47,481762;9,0771819;5414;42091510;OBERLI CHRISTIAN;Rislen;OBERLI CHRISTIAN, Rislen, 9512, Switzerland ;9512;9512 SG;RW;PP(IX);;
CH 74295152;46,958407;7,4944486;74295152;68906813;Spirit Market GmbH;Wegmühlegässli6;Spirit Market GmbH, Wegmühlegässli6, 3072, Switzerland ;3072;3072 BE;RW, WM;PP(IX);;
CH 3306;;;3306;72484959;La Cabriolle SA;Rue Saint-Jacques32;La Cabriolle SA, Rue Saint-Jacques32, 1666, Switzerland ;1666;1666 FR;RW;PP(IX), CC(IX);;
CH 46907279;47,1996423;7,5742296;46907279;76843433;Eggenschwiler Tiefkühl- produkte AG;Waldeggstrasse4;Eggenschwiler Tiefkühl- produkte AG, Waldeggstrasse4, 4528, Switzerland ;4528;4528 SO;CS, WM;;;
CH 2093;47,4108039;9,0381046;2093;41626634;Traber Käse AG;Seefeldstrasse10;Traber Käse AG, Seefeldstrasse10, 9533, Switzerland ;9533;9533 SG;RW;PP(IX);;
CH 2423;;;2423;52031716;Cremo S.A. Usine de Lucens;Route de la Caséine9;Cremo S.A. Usine de Lucens, Route de la Caséine9, 1522, Switzerland ;1522;1522 VD;RW, WM;PP(IX);;
CH 72319381;47,5677135;9,0947357;72319381;72319381;ARDIVAL AG;Weststrasse25;ARDIVAL AG, Weststrasse25, 8570, Switzerland ;8570;8570 TG;CS, RW, WM;MM(V), MP(V), PP(VI);;
CH 73897204;47,546157;7,5552222;73897204;73897204;Mérat & Cie. AG;Binningerstrasse148;Mérat & Cie. AG, Binningerstrasse148, 4123, Switzerland ;4123;4123 BL;RW, WM;MM(V), MP(V);;
CH 73765493;46,9525295;9,5627579;73765493;73765493;Fleischtrocknerei Churwalden AG;Riedlöserstrasse11;Fleischtrocknerei Churwalden AG, Riedlöserstrasse11, 7302, Switzerland ;7302;7302 GR;RW;MP(V), PP(VI);;
CH 1001;47,44895;8,599963;1001;62132089;Lüchinger + Schmid AG, Eier & Eiprodukte;Steinackerstrasse35;Lüchinger + Schmid AG, Eier & Eiprodukte, Steinackerstrasse35, 8302, Switzerland ;8302;8302 ZH;CS;PP(X), EPC(X), LEP(X);;
CH 342;47,3920488;8,6650738;342;61480114;Kühlhaus Universal AG;Juchstrasse1;Kühlhaus Universal AG, Juchstrasse1, 8604, Switzerland ;8604;8604 ZH;CS;;;
CH 4201;46,7144617;6,9982027;4201;53298402;Fromagerie Moléson S.A.;Route de Villarsel30;Fromagerie Moléson S.A., Route de Villarsel30, 1694, Switzerland ;1694;1694 FR;RW;PP(IX);;
CH 73955882;;;73955882;86900338;Caseificio Alba Sàrl en liquidation;Chemin du Vuasset5;Caseificio Alba Sàrl en liquidation, Chemin du Vuasset5, 1028, Switzerland ;1028;1028 VD;RW;PP(IX);;
CH 66001529;45,9768279;8,9271078;66001529;66001529;SPACCIO ITTICO SA;via al Piano12;SPACCIO ITTICO SA, via al Piano12, 6926, Switzerland ;6926;6926 TI;CS, WM;DC(VII), WM(VIII), FFPP(VIII);;
CH 5898;47,5491214;9,1484737;5898;50172869;Strähl Käse AG;Industriestrasse10;Strähl Käse AG, Industriestrasse10, 8575, Switzerland ;8575;8575 TG;CS, RW, WM;PP(IX);;
CH 41662920;47,060303;8,301357;41662920;41662920;Genossenschaft Zentralschweizer Milchproduzenten ZMP;Friedentalstrasse43;Genossenschaft Zentralschweizer Milchproduzenten ZMP, Friedentalstrasse43, 6004, Switzerland ;6004;6004 LU;WM;CC(IX);;
CH 41344998;;;41344998;41344998;Genossenschaft Migros Aare, Produktion Fleisch;Industriestrasse9;Genossenschaft Migros Aare, Produktion Fleisch, Industriestrasse9, 3321, Switzerland ;3321;3321 BE;RW, WM;CP(I), CP(II), CP(III), MM(V), MP(V), PP(VI);;
CH 335;46,1667312;6,1070369;335;41913354;Agrifrance SA;Chemin du Pré-Fleuri10;Agrifrance SA, Chemin du Pré-Fleuri10, 1228, Switzerland ;1228;1228 GE;CS;;;
CH 62221021;47,3851337;8,5203308;62221021;62221021;Braschler's Comestibles Import AG;Geroldstrasse5;Braschler's Comestibles Import AG, Geroldstrasse5, 8005, Switzerland ;8005;8005 ZH;CS;PP(VIII), FFPP(VIII);;
CH 75584672;;;75584672;75584672;Dörig Käsehandel AG;Industriestrasse4;Dörig Käsehandel AG, Industriestrasse4, 9300, Switzerland ;9300;9300 SG;CS;PP(IX);;
CH 5052;47,366825;9,092395;5052;41600788;Käserei Berghof;Aewil487;Käserei Berghof, Aewil487, 9608, Switzerland ;9608;9608 SG;RW;PP(IX);;
CH 92280442;;;92280442;92280442;Mérat & Cie. AG;Buzibachstrasse15;Mérat & Cie. AG, Buzibachstrasse15, 6023, Switzerland ;6023;6023 LU;RW;CP(I), CP(II), CP(III), CP(IV), MM(V), MP(V);;
CH 2089;;;2089;73385354;Hardegger Käse AG;Steinackerstrasse1;Hardegger Käse AG, Steinackerstrasse1, 9243, Switzerland ;9243;9243 SG;RW, WM;PP(IX);;
