code;name;address
CY 0005 EK;MIMI ELENI;Apostolou Louca 33, 7731 Skarinou - Larnaca
CY 0006 EK;FARM ATHANASIS OLYMBIOU & SONS LTD;Philopappou 11 A, 4002 Mesa Gitonia - Lemesos
CY 0007 EK;"GALAKTOKOMIO ""TO CHORKO"" M.P. LIMITED";Pentadaktylou 44A, 7735 Kofinou - Larnaca
CY 0011 EK;DETELINA DAIRY LTD;Akadimias 2, III Industrial Area Lemesos, Ypsonas - 4193 Lemesos
CY 0014 EK;YIANNAKIS & ZOIRO STEFANI LTD;1st April 8, 4700 Pachna - Lemesos
CY 0018 EK;GALAKTOKOMIO STELIOS. S. STAVRINOU (LYGIA);Zia Giocalp 8 - 3010 Lemesos
CY 0019 EK;VOSPOROS LTD;Georgiou Kalogeropoulou, 4007 Mesa Gitonia - Lemesos
CY 0021 EK;MILK INDUSTRY ZITA LTD;P.O. Box 60176 - 8101 Paphos
CY 0022 EK;PETROU BROS DAIRY PRODUCTS LTD;Pindarou 25 , Aradippou Industrial Area B , 7100 Aradippou - Larnaca
CY 0025 EK;ANTROULLA & EFTICHIOS TRIFILLIS;Ammochostos Avenue, 7643 Kalo Chorio - Larnaca
CY 0026 EK;NIKI M. ONOUFRIOU (TEROKOMIO) LTD;Demokratias 1, 4601 Prastio Avdemou - Lemesos
CY 0027 EK;FARMA A.P. POLYCARPOU & SONS LIMITED;Demokratias 4, 4601 Prastio Avdimou - Lemesos
CY 0032 EK;GALAKTOKOMIKA PROIONTA A.PRASTITIS LTD;Zigia Giogalp 13 - 6025 Larnaca
CY 0050 EK;STEFANI BROS LTD;14 Leonidou, 7104 Aradippou - Larnaca
CY 0051 EK;GALAKTOKOMIO R.A. VOUYIOUKLAKIS LTD;7731 Skarinou - Larnaca
CY 0052 EK;N.TH. KOUROUSHIS LTD;7735 Kofinou - Larnaca
CY 0053 EK;NICOS KANTIS LTD;1st April 34, 7104 Aradippou - Larnaca
CY 0054 EK;ELEFTHERIOS G. ELEFTHERIOU (ACHNAGAL) LTD;Phani Demetriou 9, Viomichaniki B, 5523 Dasaki A chnas -Ammochostos
CY 0056 EK;3F DAIRY LIMITED;Kavallou 12, Viomichaniki Periochi Frenarous, 5350 Frenaros - Ammochostos
CY 0058 EK;PAPOUIS DAIRIES LIMITED;40 Industrial Area Athienou, 7610 Athienou - Larnaca
CY 0059 EK;CH. & M. SHAKALLIS;12 Odyssea Elyti str., 7020 Dromoloxia - Larnaca
CY 0060 EK;Α. HADJIPIERI LTD;Athienou Industrial Area, No. 4, 7610 Athienou - Larnaca
CY 0063 EK;CHARALAMBIDES CHRISTIS LTD;Agios Athanasios Industrial Area - Lemesos
CY 0065 EK;LEFKONITZATIS DAIRY PRODUCTS LTD;Andrea Kariolou 34, Ag.Athanasios Industrial Area - 4102 Lemesos
CY 0066 EK;G. I. KESSES DAIRY PRODUCTS LTD;4600 Avdimou - Lemesos
CY 0068 EK;AFXENTIOU DAIRY LTD;Dhali Ind. Area, P.O. Box 12597 - 2251 Lefkosia
CY 0070 EK;PANAYI BROS LTD;Crachambel 19, 5380 Derynia Industrial Area - Ammochostos
CY 0072 EK;MILITZIS DAIRY LTD;Fedras 6 - 6059 Larnaca
CY 0074 EK;K.G. SOUROULAS & SONS LTD;Aradippou Industrial Area, 7101 Aradippou - Larnaca
CY 0076 EK;KORNOS HALLOUMI CHEESE (RDMAIN LTD);Periochi Triantafilies, 7640 Kornos - Lefkosia
CY 0077 EK;SERGIOS LOUCARIS LTD;Ag. Efthimianou 1, 7643 Kalo Chorio - Larnaca
CY 0081 EK;PAPAPHILIPPOU & PATISERI PANAYIOTIS ICE CREAM LIMITED;"Photi P;itta 20, Viomichaniki Zoni Paliometochou, 2682 Paliometocho - Lefkosia"
CY 0090 EK;EV-ZO DAIRIES LTD;Kyriakou Matsi 5, 2235 Latsia - Lefkosia
CY 0093 EK;COWBOY FARM LTD;Andrea Kariou 10, 7103 Aradippou - Larnaca
CY 0095 EK;CHRISTINA CONSTANTINOU LT;Arch. Makariou 21, 4601 Prastio, Avdemou - Lemesos
CY 0099 EK;GALAKTOKOMIO A.D.S.DAFNI LTD;Lykavitou 32, 2640 Anayia - Lefkosia
CY 0100 EK;LEFTERIS GEORGIOU;G. Kalamatianou 7 4150 Lemesos
CY 0101 EK;GEROLEMOU ANDREAS;75 Elea Kanaourou Str., 4186 Ypsonas - Lemesos
CY 0102 EK;TYROKOMIO A/FOI PANTZIAROU LTD;Athienou Industrial Area, No. 38, 7600 Athienou - Larnaca
CY 0103 EK;ANDREAS SHAKALLKIS & SONS LTD;Dhilou 42B, Ypsonas Industrial Area - 3056 Lemesos
CY 0104 EK;HILIMINDRIS DAIRIES LTD;Iacovou Katsunotou 12, III Industrial Area - 4193 Lemesos
CY 0105 EK;P.A. ERACLEOUS GALAKTOKOMIKA LTD;Arch. Makariou III, No. 14, 2566 Lymbia - Lefkosia
CY 0107 EK;AGATHOCLEOUS ONOUFRIOS;Ammochostou 2, 4607 Pissouri - Lemesos
CY 0110 EK;GEORGIOU LOIZOS;135 Road,  No 47, Phase III, 4131 Pano Polemidia - Lemesos
CY 0111 EK;DAIRY LACTEA CY LTD;Posidonos 3, Ag. Sila Industrial Area - 4190 Lemesos
CY 0114 EK;COCA-COLA HBC CYPRUS LTD;Kyriakou Matsi 66, 2409 Egkomi,- Lefkosia
CY 0119 EK;TO AGRINO LTD;8502 Anarita - Paphos
CY 0120 EK;GALAKTOKOMIO ANDRO-NIKI DAIRY LTD;1st April 44, 2772 Agia Marina Xiliatou - Lefkosia
CY 0121 EK;MINA ANASTASIS;Chrisopantanas 40, 2617 Agrokipia - Lefkosia
CY 0122 EK;ANDROS & PHANI DEMETRIADES LTD;Kouriou 6, 2540 Dhali - Lefkosia
CY 0123 EK;L.KALLENOS & SONS LTD;Michael Olympiou 12, 2540 Dhali - Lefkosia
CY 0124 EK;DEMETRIOU DAIRY LTD;2779 Orounta - Lefkosia
CY 0125 EK;POUYIOUROS LTD;33 Arch. Makariou III, 8200 Geroskipou - Paphos
CY 0126 EK;GALAKTOKOMIKA PROIONTA TERSEFANITIS (M.I.A) LTD;Dios 9, 7562 Tersefanou - Larnaca
CY 0127 EK;CHEESELINE LTD;P.O.Box 17017, 2260 Lefkosia
CY 0129 EK;ANASTASIA CONSTANTINOU;Ag. Marinas 12, 4700 Pachna- Lemesos
CY 0130 EK;STROUTHOS FARM HOUSE DAIRY;Nikou Evaggelou 4, 2720 Akaki - Νicosia
CY 0133 EK;CHYSODALIA FOOD INDUSTRY LTD;Gregory Afxentiou 26, 2540 Dhali - Lefkosia
