code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
;RP;WASGAU Metzgerei GmbH;Rheinstraße 27;66955 Pirmasens;;;;;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.18939;7.5809
BB-EFB 006;BB;Peitzer Edelfisch Handelsgesellschaft mbH;Hüttenwerk 1;03185 Peitz;BB-EFB 006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;51.8482942;14.4225733
BB-EK 004;BB;HAVI Logistics GmbH;Rostocker Straße 3;14641 Wustermark;BB-EK 004;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5631083;12.9711859
BB-EK 005;BB;Polarstern Tiefkühllogistik GmbH;Am Möllenberg 11-15;15713 Königs-Wusterhausen;BB-EK 005;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.30687;13.6576
BB-EK 006;BB;Dresdner Kühlhaus GmbH;Paul-Greifzu-Straße 6;03042 Cottbus;BB-EK 006;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.764609;14.3623953
BB-EK 031;BB;Kraftverkehr Nagel SE & Co. KG;Kurt-Nagel-Straße 4-6;14641 Wustermark;BB-EK 031;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5643551;12.9812772
BB-EP 004;BB;Beelitzer Frischei e.G.;Hermann-Löns-Straße 35;14547 Beelitz;BB-EP 004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;52.25059;12.9712899
BB-ES 002;BB;Agrargenossenschaft Neuzelle e.G., Landfleischerei;Straße der Einheit 20a;15898 Neuzelle;BB-ES 002, BB-EV 002, BB-EZ 002;;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.07219;14.71345
BB ES 1403;BB;Schlachtbetrieb GmbH Perleberg;Ackerstraße 4;19348 Perleberg;BB ES 1403, BB EZ 1403;;;;;;B, P, S;B, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0845433;11.8573593
BB-EUZ 013;BB;Kaufland Logistik Standort Lübbenau GmbH & Co. KG;Neckarsulmer Straße 1;03222 Lübbenau/Spreewald;BB-EUZ 013;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8471751;13.953214
BB-EUZ 014;BB;Mühlenberger Spezialitäten Vertriebs GmbH;Reetzer Straße 64;19348 Perleberg;BB-EUZ 014;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.08497;11.86058
BB-EV 001;BB;First Orient Food GmbH;Weststraße 8;16356 Werneuchen;BB-EV 001;;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.626292;13.7243788
