code;name;street;city;postalcode;lat;lng
DK 1005 EF;ARNE JØRGENSEN & SØN A/S;Hyttefadsvej 14;Strandby;9970;57.4949630;10.5034100
DK 1007 EF;TELL FISK APS;Hyttefadsvej 11;Strandby;9970;57.4952780;10.5028610
DK 101 EF;LL COLD ApS;Visherredsvej 2;Padborg;6330;54.8332660;9.3608760
DK 1028 EF;Hansa Fisk;Læssevejen 6;Esbjerg;6700;55.4743680;8.4273900
DK 1051 EF;Fjord Seafood A/S;Hyttefadsvej 3;Strandby;9970;57.4950460;10.5015260
DK 1059 EF;Scanfish Danmark A/S;Industrihøjen 5;Hanstholm;7730;57.1137010;8.6417080
DK 1065 EF;WERNER LARSSON FISKEEKSPORT A/S;Galeasevej 3;Skagen;9990;57.7223370;10.6039140
DK 1068 EF;WORLDWIDE SEAFOOD HANSTHOLM ApS;Kai Lindbergs Gade 24;Hanstholm;7730;57.1215650;8.6062490
DK 1082 EF;FISKEHALLEN TVILLING A/S;Kattegatvej 63;Nordhavn;2150;55.7227750;12.6073300
DK 109815 EF;Lindholm Jagtvæsen;Abbetvedvej 2A;Roskilde;4000;55.6384820;11.9382050
DK 1102 EF;KNUD THOMSEN FISKEEKSPORT A/S;Hyttefadsvej 6;Strandby;9970;57.4947580;10.5017590
DK 1103 EF;Mondo Mar Marine Foods Aps;Kai Lindbergs Gade 38;Hanstholm;7730;57.1204590;8.6029430
DK 1108 EF;Nordic Fish A/S;Læssevejen 10;Esbjerg;6700;55.4748460;8.4269600
DK 1116297 EF;Clausholm Gods v/ Christian Alexander Berner;Clausholmvej 308;Hadsten;8370;56.3846700;10.1700560
DK 1117 EF;Musholm  A/S;Strandvejen 101;Gørlev;4281;55.5171510;11.1187470
DK 1133 EF;A/S LÆSØ FISKEINDUSTRI;Auktionsvej 20;Skagen;9990;57.7225810;10.5981590
DK 1149 EF;First Seafood Hvide Sande A/S;Tungevej 2-4;Hvide Sande;6960;55.9980640;8.1221989
DK 1203 EF;Henrik Hansen;Nybyvej 15;Vipperød;4390;55.6642330;11.7380870
DK 1209 EF;Stensved Slagtehus ApS;Vådebjergvej 2;Stensved;4773;55.0024120;12.0308850
DK 120928 EF;Torbenfeldt Gods;Ringstedvej 50;Mørkøv;4440;55.6385730;11.5177710
DK 1211 EF;Bjergstedslagteren ApS;Bjergsted Byvej 5;Jyderup;4450;55.6676900;11.3491500
DK 1212 EF;Gislinge Slagteri;Byvej 9;Gislinge;4532;55.7336360;11.5478980
DK 1214 EF;Maglebrænde Slagtehus;Østerbro 2, Maglebrænde;Stubbekøbing;4850;54.8653170;12.0217300
DK 1215503 EF;Holsteinborg Gods v/Christopher Holstein;Ørslevvej 334;Rude;4243;55.2163380;11.4627580
DK 1217 EF;Nr. Asmindrup Slagtehus ApS;Gl Nykøbingvej 78;Nørre Asmindrup;4572;55.8802490;11.6069870
DK 1218 EF;OMK Knabstrup ApS;Holbækvej 328;Mørkøv;4440;55.6639610;11.5528620
DK 1219 EF;Egtved Slagtehus ApS;Brudesøvej 1;Egtved;6040;55.6033430;9.3219770
DK 121967 EF;Lindenborg Gods, Vildtdepot;Østergade 32;Arden;9510;56.7664440;9.8643610
DK 123381 EF;Kjærstrup Gods;Kærstrupvej 17;Holeby;4960;54.6915510;11.5261820
DK 1234 EF;Slagtehuset Krämer ApS, Slagteri;Industriparken 4;Holeby;4960;54.7278640;11.4589560
DK 123829 EF;Søllestedgaard Gods;Søllestedgårdsvej 4;Søllested;4920;54.8124093;11.2709858
DK 1242 EF;Tim Køier Andersen;Skovbovej 1  B;Næstved;4700;55.2170860;11.8479130
DK 1243 EF;Øster Hornum Slagtehus, v/Heinrich Zimmermann;Nibevej 128;Støvring;9530;56.9150420;9.7568350
DK 126 EF;Himmerlandskød A/S;Nordre Ringvej 99;Aalestrup;9620;56.7013890;9.4952600
DK 1287 EF;Slagtergården Als, Slagteri;Smedevænget 16;Nordborg;6430;54.9924630;9.8589440
DK 1295 EF;KISBÆK SLAGTERI, slagteri;Ginegaardsvej 3;Løgumkloster;6240;55.0628070;9.0319880
DK 1297 EF;Slm. Per Hamkens, Slagteri;Østergade 18;Rødding;6630;55.3674720;9.0617300
DK 131065 EF;Kaj K. Rasmussen, Vildt depot;Vadsdal 25;Ørnhøj;6973;56.2001125;8.5635585
DK 1340 EF;Vester Hæsinge Slagterforretning ApS, Slagteri;Birkevej 37;Broby;5672;55.1949460;10.2472660
DK 1366 EF;Slagtermester Torben Jakobsen, Slagteri;Snødevej 114;Tranekær;5953;55.0844260;10.9081180
DK 137 EF;Sydhavnens Frysehus;Bådehavnsgade 48;København;2450;55.6392340;12.5398250
DK 1373 EF;Hårby - Mad og Slagter ApS, Slagteri;Den Grønne Vej 1;Skanderborg;8660;56.0812770;9.8945880
DK 1379 EF;Aidt Slagtehus ApS, Slagteri;Bavnehøjvej 1;Thorsø;8881;56.3117440;9.8063550
DK 1399 EF;Sevel Slagteri A/S;Søgårdvej 28, Sevel;Vinderup;7830;56.4598670;8.8789500
DK 14 EF;Danish Crown;Langbro 7, Blans;Sønderborg;6400;54.9818590;9.6547730
