Käitleja identifikaator	Tegevuskoha identifikaator	Tunnusnumber	Tunnustatud	Käitleja registri- või isikukood	Käitleja aadress	Käitleja nimi	Tegevuskoha nimi	Põhikäitlemisvaldkond	Tegevuskoha maakond	Tegevuskoha aadress	lat	lng
72493	72495	01/08	true	10091802	Harju maakond, Kuusalu vald, Allika küla, Hinnu seafarm	OSAÜHING HINNU SEAFARM	OÜ Hinnu Seafarm tapapunkt	Liha käitlemine	Harjumaa	Hinnu seafarm, Allika küla, Kuusalu vald, Harjumaa, 74637	59.4630068	25.4250127
63168	63169	01/15	true	10068813	Harju maakond, Anija vald, Alavere küla, Vorstimäe	OSAÜHING A-VORST	OÜ A-Vorst	Liha käitlemine	Harjumaa	Vorstimäe, Alavere küla, Anija vald, Harjumaa, 74401	57.6530578	27.0948009
74393	74395	01/22	true	11368861	Harju maakond, Kose vald, Triigi küla	OÜ TRIIGI SEAKASVATUS	OÜ Triigi Seakasvatus tapamaja	Liha käitlemine	Harjumaa	Triigi, Triigi küla, Kose vald, Harjumaa, 75019	59.0879175	25.2488258
62445	96253	01/M02	true	12544828	Harju maakond, Jõelähtme vald, Loo alevik, Saha tee 18	DAVA FOODS ESTONIA AS	DAVA FOODS ESTONIA	Munade käitlemine	Harjumaa	Saha tee 18, Loo alevik, Jõelähtme vald, Harjumaa, 74201	59.4313232	24.9521599
71991	71993	02/02	true	10346834	Hiiu maakond, Hiiumaa vald, Kärdla linn, Vabaduse tn 4a	OÜ HIIUMAA MEREAGENTUUR	Lihalõikus	Liha käitlemine	Hiiumaa	Vabaduse 4a, Kärdla linn, Hiiumaa vald, Hiiumaa, 92411	59.0029621	22.7455372
75053	75065	03/10	true	10186520	Ida-Viru maakond, Lüganuse vald, Varja küla, Sigvari	OSAÜHING SIGWAR	OÜ Sigwar Varja tootmistsehh	Liha käitlemine	Ida-Virumaa	Sigvari, Varja küla, Lüganuse vald, Ida-Virumaa, 43309	59.407019	27.1084715
75053	75064	03/13	true	10186520	Ida-Viru maakond, Lüganuse vald, Varja küla, Sigvari	OSAÜHING SIGWAR	OÜ Sigwar Maidla tootmistsehh	Liha käitlemine	Ida-Virumaa	Vorstitsehhi, Maidla küla, Lüganuse vald, Ida-Virumaa, 42319	59.33296	27.0182643
74374	74375	03/14	true	10177969	Ida-Viru maakond, Narva-Jõesuu linn, Sinimäe alevik, Uus tn 4-15	RAISSA PAVLOVA	FIE Raissa Pavlova	Liha käitlemine	Ida-Virumaa	Karja tn 19, Sinimäe alevik, Narva-Jõesuu linn, Ida-Viru maakond, 40101	59.3735396	27.8838504
63198	63199	03/29	true	10956797	Ida-Viru maakond, Sillamäe linn, Mere pst 4	OÜ SPAROHANSA	OÜ Sparohansa	Liha käitlemine	Ida-Virumaa	Mere pst 4, Sillamäe linn, Ida-Virumaa, 40231	59.3975983	27.7645414
74108	74110	04/05	true	10736363	Jõgeva maakond, Jõgeva vald, Kurista küla	RANNE JÄME PÕLDARI TALU	Põldari talu väiketapamaja	Liha käitlemine	Jõgevamaa	Põldari, Kurista küla, Jõgeva vald, Jõgevamaa, 48413	58.7363261	26.3272468
73999	74000	04/15	true	10605721	Jõgeva maakond, Põltsamaa vald, Kaliküla, Paju	PAJU SIGALA OÜ	Paju sigala OÜ	Liha käitlemine	Jõgevamaa	Pauastvere küla, Põltsamaa vald, Jõgevamaa, 48017	58.6829484	26.0212639
74925	74928	04/17	true	10883839	Jõgeva maakond, Põltsamaa vald, Põltsamaa linn, Kingu tn 2	OÜ VECORDIA PÕLTSAMAA VORSTITÖÖSTUS	OÜ Vecordia Põltsamaa Vorstitööstus	Liha käitlemine	Jõgevamaa	Kingu 2, Põltsamaa linn, Põltsamaa vald, Jõgevamaa, 48105	58.6507592	25.9846452
72377	72378	04/21	true	10039687	Jõgeva maakond, Jõgeva vald, Torma alevik, Kesk tn 6	TORMA PÕLLUMAJANDUSOSAÜHING	Torma POÜ	Liha käitlemine	Jõgevamaa	Liivi, Torma alevik, Jõgeva vald, Jõgevamaa, 48502	58.8192448	26.7140309
63202	63203	05/10	true	10980198	Järva maakond, Paide linn, Korba küla, Looduse	OSAÜHING FIJOM PLUSS	Müüsleri väiketapamaja	Liha käitlemine	Järvamaa	Tapamaja, Müüsleri küla, Järva vald, Järvamaa, 73105	58.9221136	25.8814172
74717	77058	06/02	true	10112177	Lääne maakond, Lääne-Nigula vald, Uugla küla, Linpeti	AKTSIASELTS LINNAMÄE LIHATÖÖSTUS	Aktsiaselts Linnamäe Lihatööstus	Liha käitlemine	Läänemaa	Linpeti, Uugla küla, Lääne-Nigula vald, Läänemaa, 91013	58.999555	23.7459179
73450	73451	06/10	true	10035809	Lääne maakond, Lääne-Nigula vald, Martna küla	OSAÜHING FAZENDA	OÜ Fazenda	Liha käitlemine	Läänemaa	Fazenda, Martna küla, Lääne-Nigula vald, Läänemaa, 90601	58.8579394	23.8124877
73204	73206	07/03	true	10186336	Lääne-Viru maakond, Vinni vald, Lepiku küla, Tarmo	OSAÜHING ELMI	OÜ Elmi	Liha käitlemine	Lääne-Virumaa	Tarmo, Lepiku küla, Vinni vald, Lääne-Virumaa, 46627	59.1705139	26.6306969
75916	75920	07/04	true	10631339	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	AKTSIASELTS OG ELEKTRA TOOTMINE	AS OG Elektra Tootmine suitsutustsehh	Liha käitlemine	Lääne-Virumaa	Keskuse, Tobia küla, Rakvere vald, Lääne-Virumaa, 44416	59.3341796	26.316469
72176	72181	07/11	true	10317169	Lääne-Viru maakond, Rakvere linn, Ööbiku tn 4	OSAÜHING MARKILO	Vajangu Sigalakompleksi tapapunkt	Liha käitlemine	Lääne-Virumaa	Rammo tee 3, Vajangu küla, Tapa vald, Lääne-Virumaa, 46002	59.1080234	25.9977136
71855	71859	07/15	true	10200355	Lääne-Viru maakond, Kadrina vald, Hulja alevik, Vandu tee 8	OSAÜHING RAINERI GRUPP	OÜ Raineri Grupp	Liha käitlemine	Lääne-Virumaa	Vandu tee 8, Hulja alevik, Kadrina vald, Lääne-Virumaa, 45203	59.3508438	26.2180458
63172	63173	07/18	true	10228460	Lääne-Viru maakond, Haljala vald, Kõldu küla, Lihakarni	OSAÜHING KÕLDU LIHAKARN	OÜ Kõldu Lihakarn	Liha käitlemine	Lääne-Virumaa	Kõldu küla, Haljala vald, Lääne-Virumaa, 45312	59.4583811	26.1343678
75636	75638	07/23	true	11188863	Lääne-Viru maakond, Rakvere vald, Tobia küla, Keskuse	OSAÜHING LIHAKARN	Lihakarn OÜ	Liha käitlemine	Lääne-Virumaa	Tobia küla, Rakvere vald, Lääne-Virumaa, 44416	59.3455032	26.3126946
