Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.00005/TE;CENTELLES LORENZ, ALEJANDRO;Teruel/IGLESUELA DEL CID (LA);40.4815241;-0.3193745;PP;;MP
10.00006/GE;CARNICAS VALL DE BAS SL;Girona/VALL D'EN BAS (LA);42.24141245;2.4326425163;CS, SH, CP;B;
10.00010/BI;GARCIA VERDUGO, S.A.;Bizkaia/BILBAO;43.2629642;-2.9349478;PP;;MP
10.00011/CS;CANTAVELLA VENTURA, FRANCISCO;Castellón/Castelló/CASTELLON DE LA PLANA;39.9859953;-0.0374353;PP;;MP
10.00018/SA;PRODUCTOS IBERICOS CALDERON Y RAMOS, S. L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;CS, RW, SH, CP, PP;P;MP
10.00023/L;MATADERO FIGUERA SA;Lleida/AGRAMUNT;41.7876693;1.0986828;SH, CP;L;
10.00024/CR;PRAXEDES EMBUTIDOS Y JAMONES, S.L.;Ciudad Real/SOCUELLAMOS;39.2834014;-2.7904645;RW, PP;;MP
10.00025/TE;JAMONES MANZANERA, S.L.;Teruel/MANZANERA;40.0577849;-0.8302624;RW, PP;;MP
10.00028/TE;S.A.T.Nº2178 JAMONES GARGALLO;Teruel/ALBENTOSA;40.1022624;-0.767731;PP;;MP
10.00037/SE;ASOCIACION AGROALIMENTARIA DEL SUR;Sevilla/SEVILLA;37.3886303;-5.9953171;CP;;
10.00043/BA;GARCIA MIMBRERO C.B.;Badajoz/FUENTE DE CANTOS;38.2464796;-6.3072504;SH, CP, PP;P;MP
10.00044/BU;JUAN MARTIN DE LA FUENTE CUESTA;Burgos/POZA DE LA SAL;42.6669682;-3.5018934;PP;;MP
10.00048/TE;TUROTRANS, S.A;Teruel/SANTA EULALIA;40.54576115;-1.3322166477;SH, CP, PP;A;MP
10.00056/GE;CONILLS DE L'EMPORDA SL;Girona/VILOPRIU;42.1044175;2.9919182;SH;L;
10.00060/L;MATILDE MASANA, SL;Lleida/SEU D'URGELL (LA);42.3575723;1.4560067;SH;L;
10.00080/B;MIQUEL ALIMENTACIO GRUP SA;Barcelona/MONTCADA I REIXAC;41.4800277;2.1873031;CP, MM, MP;;
10.00083/SA;CARNICAS RODRIGUEZ G. DEL AGUILA S.L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;PP;;MP
10.00092/TO;CAMPOFRIO FOOD GROUP, S.A.;Toledo/TORRIJOS;39.9811627;-4.2805629;PP;;MP
10.00100/TE;JAMONES Y CECINAS R.DOMINGO S.L;Teruel/IGLESUELA DEL CID (LA);40.4815241;-0.3193745;PP;;MP
10.00102/TE;DAUDEN ZAERA, ABEL .;Teruel/FORTANETE;40.5053944;-0.5207609;PP;;MP
10.00103/BA;MATADERO DE OLIVENZA S.L.;Badajoz/OLIVENZA;38.61989515;-7.133416672;PP;;MP
10.00108/GR;JAMONES QUESADA CARPIO S.L.;Granada/CANILES;37.4341991;-2.7245038;PP;;MP
