code;name;street;city;postalcode;lat;lng
FI 006-2 EC;Palvimestarit MM Oy;Alastaron teollisuustie 10;Loimaa;32440;60.9396085;22.8627546
FI 014-1 EC;Hauhalan Hanhifarmi;Hipsunniementie 61;Mikkeli;50150;61.6877823;27.2731918
FI 019-1 EC;Auran Palvituote Oy;Huuskantie 7;Aura;21380;60.6538455;22.5898380
FI 044-1 EC;Liha REM Oy;Kymenrannantie 106;Iitti;47400;60.9081957;26.3288631
FI 049-3 EC;Valio Oy Espoon toimitustukku;Orionintie 18-22;Espoo;02200;60.1807450;24.7681241
FI 060-1 EC;Marskogens Lamm;Landströmsgatan 21 Svartsmara;Finström/Åland;22310;60.2489226;19.8740031
FI 065-1 EC;Bolstaholm Charolais;Bolstaholmsvägen 22;Åland;22340;60.3548163;19.8778552
FI 065-2 EC;Ulfsby Gård;Ulfsbyvägen 53;Åland;22150;60.1623206;19.9256071
FI 065-3 EC;Käringsunds Viltslakteri;Käringsundsvägen 54;Åland;22270;60.2282971;19.5497014
FI 065-4 EC;Solhagens Gård Ab;Mångstektavägen 507;Åland;22530;60.2338051;20.1804396
FI 091-10 EC;Lihakauppa Roslund Oy;Työpajakatu 2;Helsinki;00580;60.1666204;24.9435408
FI 091-16 EC;Kruunu Herkku Oy;Tehtaankatu 12;Juva;51900;61.8961369;27.8597270
FI 091-16 EC;Kruunu Herkku Oy;Tehtaantie 12;Juva;51900;61.9030622;27.8083616
FI 091-18 EC;Valio Oy;Vanha Talvitie 2;Helsinki;00580;60.1892587;24.9736979
FI 091-18 EC;Valio Oy Helsingin pikatukku;Vanha talvitie 2;Helsinki;00580;60.1892587;24.9736979
FI 091-18 EC;Valio Oy Helsingin Pikatukku;Vanha Talvitie 2;Helsinki;00580;60.1892587;24.9736979
FI 092-5 EC;Valio Oy Vantaan Pikatukku;Niittytie 12;Vantaa;01510;60.2941074;24.9956786
FI 092-5 EC;Valio Oy Vantaan pikatukku;Niittytie 12;Vantaa;01510;60.2941074;24.9956786
FI 102-3 EC;Tilateurastamo Koivuranta;Rantatie 284;Huittinen;32700;61.1195649;22.6675958
FI 1137518 EC;Snafu Oy;Koivunoksa 17;KERAVA;04200;60.4262831;25.1220251
FI 13302 EC;Wätteros Gård;;Lemland;22610;60.0690169;20.0860081
FI 1340 EC;Palviliha Oy;Kirjapainotie 4;Kouvola;45610;60.8679237;26.7041116
FI 140-2 EC;Väisäsen Kotiliha Jouko Väisänen;Kuopiontie 1056;Iisalmi;74520;63.4605892;27.3139355
