country	code	name	postcode	town	address	adr2	lat	lng
Bács-Kiskun	HU-02-TH-00009	Dunafalvi Mezőgazdasági Zrt.	6513	Dunafalva	Külterület 0280/1 hrsz	Külterület 0280/1 hrsz , 6513 , Dunafalva	47,4601589	18,9288926
Bács-Kiskun	HU-02-TH-00012	Nemesnádudvari Állattenyésztő Kft.	6345	Nemesnádudvar	Központi major	Központi major , 6345 , Nemesnádudvar	46,3421118	19,0535723
Bács-Kiskun	HU-02-TH-00002	Forgó István és Forgó Istvánné	6032	Nyárlőrinc	I. ker. 0133/46	I. ker. 0133/46 , 6032 , Nyárlőrinc	46,856117	19,8843465
Bács-Kiskun	HU-02-TH-00008	Klein Tamás	6345	Nemesnádudvar	Külterület 0391/2	Külterület 0391/2 , 6345 , Nemesnádudvar	46,3421118	19,0535723
Bács-Kiskun	HU-02-TH-00011	Pongo Farm Kft.	6500	Baja	III. kerület 136	III. kerület 136 , 6500 , Baja	47,5671768	19,0368517
Bács-Kiskun	HU-02-TH-00003	Polyák Antal/Polyákné Bimbó Dóra	6032	Nyárlőrinc	I. kerület 0133/46	I. kerület 0133/46 , 6032 , Nyárlőrinc	46,856117	19,8843465
Bács-Kiskun	HU-02-TH-00036	Vakula Lászlóné	6440	Jánoshalma	Hrsz. 5250/38	Hrsz. 5250/38 , 6440 , Jánoshalma	46,2863504	19,3172257
Bács-Kiskun	HU-02-TH-00034	Bácsalmási Agráripari Zrt.	6422	Tompa	Örökföld Tanya 52.	Örökföld Tanya 52. , 6422 , Tompa	46,1874762	19,5429681
Bács-Kiskun	HU-02-TH-00031	Bácsbokodi Aranykalász Zrt.	6453	Bácsbokod	Külterület, Hrsz. 078	Külterület, Hrsz. 078 , 6453 , Bácsbokod	46,1471474	19,1481093
Bács-Kiskun	HU-02-TH-00035	Dicső Istvánné	6400	Kiskunhalas	Felsőöregszőlők 159.	Felsőöregszőlők 159. , 6400 , Kiskunhalas	46,4190297	19,4686364
Bács-Kiskun	HU-02-TH-00010	Dávodi Augusztus 20 ZM MGI RT.	6524	Dávod	Külterület Hrsz 0254	Külterület Hrsz 0254 , 6524 , Dávod	45,9880864	18,9240954
Bács-Kiskun	HU-02-TH-00037	Szegedi Mihály	6440	Jánoshalma/Parcelok	V. kerület 36 hrsz.0493/10	V. kerület 36 hrsz.0493/10 , 6440 , Jánoshalma/Parcelok	47,5002319	19,0520181
Bács-Kiskun	HU-02-TH-00033	Katymár Food Kft.	6455	Katymár	Hrsz. 0285/5	Hrsz. 0285/5 , 6455 , Katymár	46,0300883	19,1954901
Bács-Kiskun	HU-02-TH-00032	Katymári Mezőgazdasági Zrt.	6455	Katymár	Hrsz. 0285/5	Hrsz. 0285/5 , 6455 , Katymár	46,0300883	19,1954901
Bács-Kiskun	HU-02-TH-00001	Városföldi Agrár Gazdaság Zrt.	6033	Városföld	II. körzet 38.	II. körzet 38. , 6033 , Városföld	46,824445	19,786065
