Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
01-001 V	MAXIMA LT, UAB	Vilniaus m.	Ukmergės g. 282	Butchers, CP;MM;MP	domestic trade	Ukmergės g. 282 , Vilniaus m. , Lithuania	54,7279129	25,238897
01-002 V	MAXIMA LT, UAB	Vilniaus m.	Kalvarijų 98	Butchers, CP;MM;MP	domestic trade	Kalvarijų 98 , Vilniaus m. , Lithuania	54,7045159	25,2829829
01-003 V	MAXIMA LT, UAB	Vilniaus m.	Mindaugo 11	Butchers, CP	domestic trade	Mindaugo 11 , Vilniaus m. , Lithuania	54,6780949	25,272716
01-004 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Molėtų pl. 47b, Vilnius	Butchers, MC;MM;MP	domestic trade	Molėtų pl. 47b, Vilnius , Vilniaus m. , Lithuania	54,7725533	25,2720757
01-005V	UAB Čia market	Vilniaus m.	Kalvarijų g. 206, Vilnius	Butchers, CP,MP,MM	domestic trade	Kalvarijų g. 206, Vilnius , Vilniaus m. , Lithuania	54,723451	25,2807046
01-006 V	MAXIMA LT, UAB	Vilniaus m.	Šaltkalvių 2	Butchers, CP	domestic trade	Šaltkalvių 2 , Vilniaus m. , Lithuania	54,6613061	25,2727427
01-007 V	MAXIMA LT, UAB	Vilniaus m.	Sausio 13-osios 2, Vilnius	Butchers, CP	domestic trade	Sausio 13-osios 2, Vilnius , Vilniaus m. , Lithuania	54,6927158	25,2211897
01-008 V	"UAB ""Palink"""	Vilniaus m.	Kovo 11-osios g. 39b	Butchers, CP;MM;MP	domestic trade	Kovo 11-osios g. 39b , Vilniaus m. , Lithuania	54,6691647	25,0962748
01-009 V	"UAB ""Palink"""	Vilniaus m.	Žirmūnų g. 2	Butchers, CP;MM;MP	domestic trade	Žirmūnų g. 2 , Vilniaus m. , Lithuania	54,6973773	25,2989158
01-01	"UAB ""Baltic Air Logistics Terminal"""	Vilniaus m.	Rodūnios kelias 18, Vilnius	Cold stores, CS	 EU	Rodūnios kelias 18, Vilnius , Vilniaus m. , Lithuania	54,6377205	25,2778053
01-010 V	"UAB ""Palink"""	Vilniaus m.	Antakalnio 73	Butchers, CP;MM;MP	domestic trade	Antakalnio 73 , Vilniaus m. , Lithuania	54,7144529	25,316483
01-011 V	"UAB ""Palink"""	Vilniaus m.	Parko 34a	Butchers, CP;MM;MP	domestic trade	Parko 34a , Vilniaus m. , Lithuania	54,68588	25,425287
01-012 V	"UAB ""Palink"""	Vilniaus m.	Architektų 43/31	Butchers, CP;MM;MP	domestic trade	Architektų 43/31 , Vilniaus m. , Lithuania	54,6746768	25,2014827
01-013 V	"UAB ""Palink"""	Vilniaus m.	Antakalnio g. 42	Butchers, CP;MM;MP	domestic trade	Antakalnio g. 42 , Vilniaus m. , Lithuania	54,7033429	25,309623
01-014 V	"UAB ""Palink"""	Vilniaus m.	Sodų 22, Vilnius	Butchers, CP;MM;MP	domestic trade	Sodų 22, Vilnius , Vilniaus m. , Lithuania	54,670692	25,2817829
01-015 V	"UAB ""Palink"""	Vilniaus m.	Juodasis kelias 35A	Butchers, CP;MP;MM	domestic trade	Juodasis kelias 35A , Vilniaus m. , Lithuania	54,661948	25,3411849
01-016 V	Maxima LT, UAB	Vilniaus m.	Liepkalnio g. 112	Butchers, CP;MM;MP	domestic trade	Liepkalnio g. 112 , Vilniaus m. , Lithuania	54,6531542	25,3041989
01-017 V	"UAB ""Palink"""	Vilniaus m.	Nemenčinės pl. 2-101	Butchers, CP;MM;MP	domestic trade	Nemenčinės pl. 2-101 , Vilniaus m. , Lithuania	54,7242209	25,3199026
01-018 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	L.Asanavičiutės g. 20/2	Butchers, CP;MM;MP	domestic trade	L.Asanavičiutės g. 20/2 , Vilniaus m. , Lithuania	54,6846452	25,2045406
01-019 V	"UAB ""Rimi Lietuva"""	Vilniaus m.	Saltoniškių g. 9	Butchers, CP;MM;MP	domestic trade	Saltoniškių g. 9 , Vilniaus m. , Lithuania	54,7003939	25,2577801
01-02	"RAB ""Salas zivis"""	Vilniaus m.	Liepsnos g. 4	Cold stores, CS;RW,WM	 EU	Liepsnos g. 4 , Vilniaus m. , Lithuania	54,6488558	25,2211887
01-020 V	"UAB ""Norfos mažmena"""	Vilniaus m.	Savanorių pr. 176	Butchers, CP;MM;MP	domestic trade	Savanorių pr. 176 , Vilniaus m. , Lithuania	54,6531547	25,2232849
