Approval number	Name	Place	Region	Associated Activities	Remark
RS-1022	“Mega R.L.A”	Aradac	Srednje-banatski okrug	CAT3	
RS-1062	“Per-kat” D.o.o.	Botoš	Srednje-banatski okrug	CAT3	
RS-1063	“Zif Commerce” D.o.o.	Senta	Severno-banatski okrug	CAT3	
RS-1067	„Swiss Lider“O.D.	Jablanica	Rasinski okrug	CAT3	
RS-65001	“Daunen Komerc” D.o.o.	Velika Plana	Podunavski okrug	CAT3	
RS-65003	“Daunen Komerc” D.o.o.	Torak	Srednje-banatski okrug	CAT3	
RS-681	"""Dan Ran"" D.o.o"	Novo Miloševo	Srednje-banatski okrug	CAT3	
RS-704	„Stilex“ D.o.o.	Zalug	Zlatiborski okrug	CAT3	
RS-40-004	“Jelidej”d.o.o.	Mramor	Nišavski okrug	CAT3	
RS-40-005	„Agrokožar“ D.o.o.	Bresnica	Pčinjski okrug	CAT3	
RS-40-006	“Dermax”d.o.o.	Bresnica	Pčinjski okrug	CAT3	
RS-40-007	„Petrović“	Svrljig	Nišavski okrug	CAT3	
RS-40-009	“Nokekožar” D.o.o.	Kupinince	Pčinjski okrug	CAT3	
RS-40-010	„Stilex“ D.o.o.	Zalug	Zlatiborski okrug	CAT3	
RS-40-012	“Kotex-promet” D.o.o.	Mladenovac (selo)	Grad Beograd	CAT3	
RS-40-013	“Leder Produkt” D.o.o.	Mladenovac (varoš)	Grad Beograd	CAT3	
RS-40-015	„Fontana“ D.o.o.	Pirot	Pirotski okrug	CAT3	
RS-40-021	“MM 155” D.o.o.	Prnjavor	Šumadijski okrug	CAT3	
RS-40-022	„Kulakoža“ D.o.o.	Kula	Zapadno-bački okrug	CAT3	
RS-40-032	“Evroper” D.o.o.	Jaša Tomić	Srednje-banatski okrug	CAT3	
RS-47-042	Doo Pahuljica-commerce	Bačko Petrovo Selo	Južno-bački okrug	CAT3	
RS-47-045	"""Familija Janković"" D.o.o."	Bačko Petrovo Selo	Južno-bački okrug	CAT3	
RS-47-048	„Lederex“ D.o.o.	Pirot	Pirotski okrug	CAT3	
RS-47-056	AGROSISTEM DOO GLOBODER	Kruševac	Rasinski okrug	CAT3	
RS-47-071	„OXXO“ D.o.o.	Zaječar	Zaječarski okrug	CAT3	
RS-47-114	KOSTAS ZACHARIA DOO	Inđija	Sremski okrug	CAT3	
RS-37-352	Farmina Pet Foods	Inđija	Sremski okrug	CAT3	
RS-48-026	TRONTEAM DOO	Novi Sad	Južno-bački okrug	CAT3	
RS-65006	P.P.“Forma”	Novi Pazar	Raški okrug	CAT3	
RS-700	A.D.“Ruma”	Ruma	Sremski okrug	CAT3	
RS-30-002	Veterinarski Zavod Subotica A.D	Subotica	Severno-bački okrug	CAT3	
RS-30-112	„DTD Ribarstvo”d.o.o.	Bački Jarak	Južno-bački okrug	CAT3	
RS-30-15	INBERG DOO BOLJEVCI	Beograd (Novi Beograd)	Grad Beograd	CAT3	
RS-30-194	"""Eco Feed"" D.o.o."	Sečanj	Srednje-banatski okrug	CAT3	
RS-35-002	MKM BAITS	Kać	Južno-bački okrug	CAT3	
RS-40-004	“Jelidej”d.o.o.	Mramor	Nišavski okrug	CAT3	
RS-40-005	„Agrokožar“ D.o.o.	Bresnica	Pčinjski okrug	CAT3	
RS-40-006	“Dermax”d.o.o.	Bresnica	Pčinjski okrug	CAT3	
RS-40-007	„Petrović“	Svrljig	Nišavski okrug	CAT3	
RS-40-009	“Nokekožar” D.o.o.	Kupinince	Pčinjski okrug	CAT3	
RS-40-012	“Kotex-promet” D.o.o.	Mladenovac (selo)	Grad Beograd	CAT3	
RS-40-013	“Leder Produkt” D.o.o.	Mladenovac (varoš)	Grad Beograd	CAT3	
RS-40-014	"""Farmex"" D.o.o"	Novi Sad	Južno-bački okrug	CAT3	
RS-40-022	„Kulakoža“ D.o.o.	Kula	Zapadno-bački okrug	CAT3	
RS-41-001	„Prekon“ D.o.o.	Zrenjanin	Srednje-banatski okrug	CAT3	
RS-41-005	”Bačka Topola” A.d. RJ “Žibel”	Bačka Topola	Severno-bački okrug	CAT3	
RS-41-009	"""Evrotom"" D.o.o."	Ruma	Sremski okrug	CAT3	
RS-41-011	“ENERGO-ZELENA”d.o.o.	Inđija	Sremski okrug	CAT1	
RS-41-014	TECHTRON D.o.o.	Ruma	Sremski okrug	CAT3	
RS-41-015	Api-trade	Leskovac	Jablanički okrug	CAT3	
RS-47-028	“Nik NTBD Company” D.o.o.	Pančevo	Južno-banatski okrug	CAT3	
RS-47-031	"""Elita"" D.o.o"	Ljubanje	Zlatiborski okrug	CAT3	
RS-47-033	Zlatno Pero D.o.o.	Debeljača	Južno-banatski okrug	CAT3	
RS-47-036	"""Trio Koža"" D.o.o."	Novo Selo	Podunavski okrug	CAT3	
RS-47-038	„Šojić“ D.o.o.	Kraljevo	Nišavski okrug	CAT3	
RS-47-039	„Lebox Leder“ D.o.o.	Lebane	Jablanički okrug	CAT3	
RS-47-044	„Matijević“	Novi Sad	Južno-bački okrug	CAT3	
RS-47-046	“Lepo Crno Jagnje”	Knjaževac	Zaječarski okrug	CAT3	
RS-47-048	„Lederex“ D.o.o.	Pirot	Pirotski okrug	CAT3	
RS-47-051	“Kožar”D.o.o.	Loznica	Mačvanski okrug	CAT3	
RS-47-053	DAFAR DOO, ZRENJANIN	Zrenjanin	Srednje-banatski okrug	CAT3	
RS-47-055	„Daunen Komerc“ D.o.o.	Velika Plana	Podunavski okrug	CAT3	
RS-47-056	AGROSISTEM DOO GLOBODER	Kruševac	Rasinski okrug	CAT3	
RS-47-057	„Luxury Tannery“ D.o.o.	Ruma	Sremski okrug	CAT3	
RS-47-058	“Moka” D.o.o.	Gornja Vranjska	Mačvanski okrug	CAT3	
