Nr	Namn	Postadress	Kommun	Län	Kategori	Övrig verksamhet	Djurslag	Kontrollerande myndighet	lat	lng
001	Lindells Gårdsslakteri AB	Ottravad, Storegården, 522 93 Tidaholm	TIDAHOLM	VÄSTRA GÖTALANDS LÄN	SH CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-SH I-CP	P B	Livsmedelsverket	58.1638699	13.8393436
003	Faringe Kött & Slakt AB	Karlsberg, 744 92 Huddungeby	HEBY	UPPSALA	SH CP MM	V-MM I-SH I-CP	B C O S P	Livsmedelsverket	60.0520364	16.9917475
005	Rafnaslakt AB	Näsåkersvägen 60, 880 40 Ramsele	SOLLEFTEÅ	VÄSTERNORRLAND	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	B C O P S wU	Livsmedelsverket	63.5338449	16.492702
011	PP Slakt AB	Södra Bäckvägen 1 F, 821 51 Bollnäs	TIERP	UPPSALA	SH CP MM	V-MM I-SH I-CP	B O P	Livsmedelsverket	61.3579015	16.4082015
015	Lindegrens Slakteri AB	Ekerödsvägen 110, 266 95 MUNKA-LJUNGBY	ÄNGELHOLM	SKÅNE LÄN	SH CP GHE MM	III-SH III-CP IV-CP IV-GHE V-MM I-SH I-CP	B C O P S R wU	Livsmedelsverket	56.2783945	13.1422824
017	Norrbottensgården Slakteri AB	Makadamvägen 15, 973 45 Luleå	LULEÅ	NORRBOTTEN	SH CP MM	V-MM I-SH I-CP	B O S	Livsmedelsverket	65.6032991	22.0425689
018	Bjursunds Slakteri AB	Mossebogatan 9, 615 95 Valdemarsvik	VALDEMARSVIK	ÖSTERGÖTLAND	SH CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-SH I-CP	B C O	Livsmedelsverket	58.2223164	16.5605244
020	Szabos Hemschark AB	Gröne vägen 4, 295 94 NÄSUM	BROMÖLLA	SKÅNE LÄN	SH CP	\N	B O P	Livsmedelsverket	56.1950625	14.5079479
024	Ulvereds Hjorthägn & Gårdsslakteri	c/o Birger Ekdahl, Hvitefeldtsg. 31, 302 34 Halmstad	LAHOLM	HALLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	56.6758072	12.8457554
026	Mostorps Gård AB	Mostorp 107, 305 77 Getinge	FALKENBERG	HALLAND	SH	\N	B O	Livsmedelsverket	56.8394827	12.7231025
027	Öströö Fårfarm AB	Öströö, 432 77 Tvååker	VARBERG	HALLAND	SH CP MM	V-MM I-SH I-CP	B C O P	Livsmedelsverket	57.0687055	12.5065709
034	Åkes Slakt & Styckning AB	Kalle Jakobs väg 4, 777 93 Söderbärke	SMEDJEBACKEN	DALARNAS LÄN	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	B C O P S wU wG	Livsmedelsverket	60.0459681	15.5176363
