Schvaľovacie číslo / Approval number,Nazov / Name,Mesto / Town,"Okres /
District",Kraj / Region,"Kategória,
činnost /
Category","Pridružené
činnosti /
Associated
activities","Druhy /
Species","Poznámky /
Remarks"
121,ACCOM Slovakia s.r.o.,"Banská
Bystrica","Banská
Bystrica",Banskobystrický,CS,,,M
299,ACCOM Slovakia s.r.o.,Šamorín,"Dunajská
Streda",Trnavský,CS,,FP,"M, mp, rafg"
10099,"Adria Gold Slovakia, spol.s r.o.",Fiľakovo,Lučenec,Banskobystrický,CS,,FP,"mäso, mp, MP,
MM,mliekoa
M, vajcia a Vv,,
rafg"
10111,"ALFA FROST, s.r.o.","NovéMesto
nad Váhom","Nové  Mesto
n.Váhom",Trenčiansky,CS,,"ALL, FP","mletémäso,
mäsové
prípravky,
mechanicky
separované
mäso,med,
vajcia,  M,  rafg,
st, Vv, mp"
10000,"ASSIST, s.r.o.",Povoda,"Dunajská
Streda",Trnavský,CS,,,M
10070,"AVET - C, spol. s r.o.","Košťanynad
Turcom",Martin,Žilinský,CS,,,"vajcia, M, Vv"
10030,"Beef House, s.r.o.","Nové Mesto n.
Váhom","Nové  Mesto
n.Váhom",Trenčiansky,CS,,ALL,"MM,  MP,  M,
mp, rafg, st"
69-9-7,Bidfood Slovakia s. r. o.,"NovéMesto
nad Váhom","Nové  Mesto
n.Váhom",Trenčiansky,CS,,"ALL, FP","med, vajcia, fl,
M, mp, rafg, st,
Vv,MM,MP,
MSM"
10015,Bidfood Slovakia s.r.o.,Prešov,Prešov,Prešovský,CS,,"A,DU,FP,
G, L","M,  mp,  rafg,
st,vajcia,Vv,
slimáky, fl,  MM,
MP"
175,BILLA s.r.o.,Senec,Senec,Bratislavský,CS,,"A, DU, FP",mp
248,CALMAR spol. s r.o.,Košice,Košice,Košický,CS,,"A, DU, FP","M, mp"
10013,"COOP JLC, a.s.","Kostolné
Kračany","Dunajská
Streda",Trnavský,CS,,,"vajcia, M, mp,
rafg"
10074,Coronis s.r.o.,Žilina,Žilina,Žilinský,CS,,,M
10100,"DADO PLUS s.r.o., sklad vajec",Trenčín,Trenčín,Trenčiansky,CS,,,sklad vajec
10122,DC Stropkov,Stropkov,Stropkov,Prešovský,CS,,"A, DU, FP","vajcia,  mleté
mäso,mäsové
prípravky,
mäsové
konzervy,
spracovanéa
nespracované
FP, M, mp, rafg"
283,DE - AN s.r.o.,Lučenec,Lučenec,Banskobystrický,CS,,"A, DU, FP","mp, rafg, st"
10042,"Deák, spol. s r.o.",Veľká Mača,Galanta,Trnavský,CS,,"A, DU, FP","mäsové
prípravky, mäso
diviny, , M"
10080,"Delitalia, s.r.o.","Banská
Bystrica","Banská
Bystrica",Banskobystrický,CS,,,"mp,
chladiarenské
skladovanie
mliekaa
mliečnych
výrobkov"
221,DEMIFOOD spol. s r.o.,"NovéMesto
nad Váhom","Nové  Mesto
n.Váhom",Trenčiansky,CS,,"ALL, FP","M, mp, rafg"
10048,DEXTER PREŠOV s.r.o.,Prešov,Prešov,Prešovský,CS,,"A, DU","mp, rafg"
157,"DIAMON, s.r.o.",Poprad,Poprad,Prešovský,CS,RW,"A, DU",
10009,"DMJ MARKET, s.r.o., Veľkoobchod","Vranovnad
Topľou","Vranovnad
Topľou",Prešovský,CS,RW,"ALL, FP","MP,  M,mp,
rafg"
182,"DUGY, spol. s r.o. Košice",Prešov,Prešov,Prešovský,CS,RW,,
10084,"Eaglewings, s.r.o.",Zvolen,Zvolen,Banskobystrický,CS,,"A, DU, FP, G","M,mp,
mäsové
pokrmy"
10063,EASTFOOD s.r.o.,Košice,Košice,Košický,CS,,"A, B, DU, FP,
P","M,  mp,  rafg,
Vv"
262,"EMO - CAR, s.r.o., sklad","Banská
Bystrica","Banská
Bystrica",Banskobystrický,CS,,"A,  B,  FP,  G,
P","M, MM, MSM,
mäsové
prípravky, ŽVP"
10026,"ERIK, s.r.o.","Trstenépri
Hornáde","Košice-
okolie",Košický,CS,,"A, DU, G",
232,ESA LOGISTIKA s.r.o.,Senec,Senec,Bratislavský,CS,,"A, B, FP, P","mp,  M,  rafg,
Vv"
10037,FOODLAVA s.r.o.,"Dunajská
Streda","Dunajská
Streda",Trnavský,CS,,"DU, FP","M, mp, rafg"
151,Four Foodservice s. r. o.,"Dolný
Moštenec","Považská
Bystrica",Trenčiansky,CS,,"A, DU, FP",M
10022,FRUKTAL s.r.o.,"Liptovský
Mikuláš","Liptovský
Mikuláš",Žilinský,CS,,A,
119,GASTROTOP a.s.,Kopčany,Skalica,Trnavský,CS,,"A,DU,fG,
FP, G, L","M, mp"
10008,"Gošen, spol. s r.o., Redistribučný sklad",Važec,"Liptovský
Mikuláš",Žilinský,CS,,,"mp, Vv"
10090,"HASTIA FOOD, s. r. o.",Ružomberok,Ružomberok,Žilinský,CS,,,"M, mp"
9-13,HAVI Logistics s.r.o.,Trnava,Trnava,Trnavský,CS,,"A, DU, FP",mp
10001,"HO&PE FAMILY, s.r.o.","Poprad-
Matejovce",Poprad,Prešovský,CS,,"A, DU, FP, G","M, mp"
253,HOPI s.r.o.,Senec,Senec,Bratislavský,CS,,"A,DU,FP,
G, L","M, mp"
131,HOPI SK s.r.o.,Prešov,Prešov,Prešovský,CS,,"A, DU, FP, L,
S","mp,  MSM, M,
MM, MP,"
164,HOPI SK s.r.o.,Madunice,Hlohovec,Trnavský,CS,,"A,DU,FP,
G, L",mp
10113,"Chladiarenský a mraziarenský sklad, Jesenná
12, 080 05 Prešov",Prešov,Prešov,Prešovský,CS,,"A, DU, FP, G","Mäsové
prípravky,
vajcia,  M,  mp,
rafg, Vv"
10109,Chladiarenský sklad,"Nižná
Šebastová",Prešov,Prešovský,CS,,"A, DU, FP","M, mp, rafg"
10110,Chladiarenský sklad,Námestovo,Námestovo,Žilinský,CS,,,"M,  mp,  rafg,
st"
10128,"Chladiarenský sklad, Petrovany-Vysielač 588",Petrovany,Prešov,Prešovský,CS,,FP,"vajcia, M, mp,
rafg, Vv"
126,"ICE - BERG SLOVAKIA, spol. s r.o.",Bratislava,Bratislava,Bratislavský,CS,,"A,DU,FP,
G, L",mp
141,"IMPOL, s.r.o.",Ľubotice,Prešov,Prešovský,CS,,"DU, FP","mp, M, rafg,"
251,Ing. Karol Černák - SNIEŽIK,Košice,Košice,Košický,CS,,"A, DU, FP","M, mp"
10005,Ing. Karol Lacko - NOBA - MERK FOOD,Holíč,Skalica,Trnavský,CS,,,"M, rafg"
