ciqual_code	ciqual_group_fr	ciqual_name_fr
12112	fromages	Abondance
11168	sauces	Sauce aïoli, préemballée
26006	poissons crus	Lieu ou colin d'Alaska, cru
26152	poissons cuits	Lieu ou colin d'Alaska, fumé
26179	produits à base de poissons et produits de la mer	Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté
26076	poissons crus	Thon germon ou thon blanc, cru
26077	produits à base de poissons et produits de la mer	Thon germon ou thon blanc, cuit à la vapeur sous pression
15029	fruits à coque et graines oléagineuses	Luzerne, graine germée
24664	gâteaux et pâtisseries	Gâteau aux amandes type financier
18107	boissons sans alcool	Boisson à l'amande
15201	fruits à coque et graines oléagineuses	Pâte d'amande, préemballée
15000	fruits à coque et graines oléagineuses	Amande (avec peau)
15042	fruits à coque et graines oléagineuses	Amande, grillée, salée
15041	fruits à coque et graines oléagineuses	Amande, mondée, émondée ou blanchie
15032	fruits à coque et graines oléagineuses	Luzerne, graine
9345	pâtes, riz et céréales	Amarante, crue
11167	sauces	Sauce américaine, préemballée
26001	poissons crus	Bar rayé ou bar d'Amérique, cru
10048	mollusques et crustacés crus	Pecten d'Amérique ou Peigne du canada, noix, crue
26000	produits à base de poissons et produits de la mer	Anchois, filets à l'huile, semi-conserve, égoutté
25999	produits à base de poissons et produits de la mer	Anchois, filets roulés aux câpres, semi-conserve, égoutté
26177	produits à base de poissons et produits de la mer	Anchois au sel (anchoité, semi-conserve)
26081	poissons cuits	Lotte ou baudroie, grillée/poêlée
26018	poissons crus	Lotte ou baudroie, crue
13038	fruits	Compote de pomme
23493	gâteaux et pâtisseries	Crumble aux pommes
2074	boissons sans alcool	Jus de pomme, pur jus
23481	gâteaux et pâtisseries	Tarte normande aux pommes (garniture farine, œufs, crème, sucre, calvados)
23490	gâteaux et pâtisseries	Tarte ou tartelette aux pommes
23480	pains et viennoiseries	Chausson aux pommes
13085	fruits	Pomme Canada, pulpe, crue
13111	fruits	Pomme, sèche
13039	fruits	Pomme, pulpe et peau, crue
13050	fruits	Pomme, pulpe, crue
13175	fruits	Pomme, pulpe, rôtie/cuite au four
13620	fruits	Pomme Golden, pulpe et peau, crue
13176	fruits	Pomme, pulpe, bouillie/cuite à l'eau
13712	fruits	Abricot au sirop léger, appertisé, égoutté
13713	fruits	Abricot au sirop léger, appertisé, non égoutté
13714	fruits	Abricot au sirop, appertisé, égoutté
13715	fruits	Abricot au sirop, appertisé, non égoutté
13001	fruits	Abricot, dénoyauté, sec
13000	fruits	Abricot, dénoyauté, cru
23494	gâteaux et pâtisseries	Tarte aux abricots
26171	poissons crus	Omble chevalier, cru
11111	sauces	Sauce armoricaine, préemballée
11172	aides culinaires	Court-bouillon pour poissons, déshydraté
20156	légumes	Artichaut, fond, appertisé, égoutté
20232	légumes	Artichaut, fond, surgelé, cru
20067	légumes	Artichaut, appertisé, égoutté
20000	légumes	Artichaut, cuit
20052	légumes	Artichaut, cru
20155	légumes	Artichaut, coeur, appertisé, égoutté
12761	fromages	Asiago
9085	pâtes, riz et céréales	Nouilles asiatiques cuites, aromatisées
9863	pâtes, riz et céréales	Nouilles asiatiques aromatisées, déshydratées
9086	pâtes, riz et céréales	Nouilles asiatiques cuites, nature, non salées
20001	légumes	Asperge, bouillie/cuite à l'eau
20076	légumes	Asperge, appertisée, égouttée
20279	légumes	Asperge, verte, crue
20073	légumes	Asperge, pelée, crue
20282	légumes	Asperge, blanche ou violette, pelée, crue
26075	poissons crus	Bar ou loup de l'Atlantique, cru
26102	poissons crus	Maquereau espagnol ou maquereau blanc ou billard, cru
26009	poissons crus	Flétan de l'Atlantique ou flétan blanc, cru
26012	poissons cuits	Hareng, frit
26014	poissons cuits	Hareng, grillé/poêlé
26237	poissons crus	Hareng maigre, cru
26010	produits à base de poissons et produits de la mer	Hareng mariné ou rollmops
26238	poissons crus	Hareng gras, cru
26011	poissons crus	Hareng, cru
