fdc_name,off_col_name, important information
"Protein",proteins,
"Total lipid (fat)",fat,
"Sodium, Na",sodium,
"Energy",energy,
"Carbohydrate, by difference",carbohydrates-total,"difference between 100 and the percentages of water, protein, total lipid (fat), ash and alcohol. The value includes total dietary fiber content"
"Total Sugars",sugars,
"Fatty acids, total saturated",saturated-fat,
"Cholesterol",cholesterol,
"Fiber, total dietary",fiber,
"Fatty acids, total trans",trans-fat,
"Iron, Fe",iron,
"Calcium, Ca",calcium,
"Potassium, K",potassium,
"Vitamin C, total ascorbic acid",vitamin-c,
"Vitamin A, IU",vitamin-a,
"Sugars, added",added-sugars,
"Vitamin D (D2 + D3), International Units",,"no match because in off the is vitamin d (D3), which doesn't have D2+D3"
"Vitamin D (D2 + D3)",,
"Fatty acids, total monounsaturated",monounsaturated-fat,
"Fatty acids, total polyunsaturated",polyunsaturated-fat,
"Vitamin A, RAE",,"rae = retinolic acid equivalents"
"Niacin",vitamin-pp,
"Thiamin",vitamin-b1,
"Riboflavin",vitamin-b2,
"Vitamin B-6",vitamin-b6,
"Folate, total",folates,
"Magnesium, Mg",magnesium,
"Vitamin B-12",vitamin-b12,
"Phosphorus, P",phosphorus,
"Zinc, Zn",zinc,
"Folic acid",vitamin-b9,
"Pantothenic acid",pantothenic-acid,
"Total sugar alcohols",polyols,
"Manganese, Mn",manganese,
"Copper, Cu",copper,
"Fiber, soluble",soluble-fiber,
"Fiber, insoluble",insoluble-fiber,
"Vitamin E",vitamin-e,
"Selenium, Se",selenium,
"Vitamin K (phylloquinone)",phylloquinone,
"Iodine, I",iodine,
"Vitamin E (label entry primarily)",,
"Biotin",biotin,
"Ash",crude ash,
"Water",water,
"Carbohydrate, other",,"no actual documentation on what this nutrient actually contains has been found"
"Molybdenum, Mo",molybdenum,
"Chromium, Cr",chromium,
"Chlorine, Cl",,
"Folate, DFE",,"dfe = dietary folate equivalents"
"Sugars, Total",sugars, TODO handle the 2 sugars match
"Vitamin E (alpha-tocopherol)",,
"Choline, total",choline,
"Lactose",lactose,
"Caffeine",caffeine,
"Xylitol",,
"Arginine",l-arginine,
"Proline",,
"Lysine",,
"Methionine",,
"Phenylalanine",,
"Histidine",,
"Threonine",,
"Valine",l-valine,
"Alanine",,
"Serine",,
"Leucine",l-leucine,
"Glycine",,
"Isoleucine",l-isoleucine,
"Tyrosine",,
"Aspartic acid",,
"Tryptophan",,
"Glutamic acid",,
"Inositol",inositol,
"Sorbitol",Sorbitol,
"Vitamin D3 (cholecalciferol)",vitamin-d,
"Cystine",,
"Starch",starch,
"Inulin",,
"Retinol",,
"Cysteine",l-cysteine,
"Folate, food",,
"Taurine",taurine,
"Carotene, beta",beta-carotene,
"Lutein + zeaxanthin",,
"Salt, NaCl",salt,
"Epigallocatechin-3-gallate",,
"Alcohol, ethyl",alcohol,
"Glutamine",l-glutamine,
"PUFA 18:3 n-3 c,c,c (ALA): 4",,"this is one specific type of polyunsaturated fatty acid"
"Glucose",glucose,
"Fluoride, F",fluoride,
"SFA 12:0: 3",,"this is one specific type of saturated fatty acid"
"Acetic acid",,
"Lactic acid",,
"PUFA 18:2: 3",,"this is one specific type of polyunsaturated fatty acid"
"Fructose",fructose,
"SFA 8:0: 2",,"this is one specific type of saturated fatty acid"
"SFA 10:0: 2",,"this is one specific type of saturated fatty acid"
"PUFA 18:2 n-6 c,c: 2",,"this is one specific type of polyunsaturated fatty acid"
"Sugars, intrinsic",,"this is the portion of sugars that are naturally present within the cellular structure of foods"
"Ribose",,
"Choline, from phosphotidyl choline",,
"Beta-glucans",beta-glucan,
"Vitamin D2 (ergocalciferol)",,
"Lignin",,
"Maltose",maltose,
