"source_column","transformation","target_column","target_database","comments"
"id_modele",,"code","Folksonomy Engine","EAN code for the product. Reject each entry which is not a correct one"
"id_modele",,"code","Product Opener","EAN code for the product. Reject each entry which is not a correct one"
"id_unique",,"-",,"Rejected: internal ID which does not matter"
"referentiel_id_modele",,"-",,"Rejected"
"nom_modele",,"product_name","Product Opener","French language"
"nom_modele",,"model_name","Folksonomy Engine","The model name of the product"
"categorie_produit",,"categories","Product Opener","French language"
"categorie_produit","prefix_field","product_name","Product Opener","The category of the product prefixes the product name"
"id_metteur_sur_le_marche",,"france:reparability_index:company:id","Folksonomy Engine",
"referentiel_id_metteur_sur_marche",,"france:reparability_index:company:id:referential","Folksonomy Engine","It should have been merged with the previous one, but it makes conversion more difficult"
"nom_metteur_sur_le_marche",,"brands","Product Opener",
"date_calcul",,"france:reparability_index:calculation_date","Folksonomy Engine",
"url_tableau_detail_notation",,"france:reparability_index:scoring_details_url","Folksonomy Engine",
"note_ir",,"labels","Product Opener","We should prefer Product Opener labels of the following serie: repairability-index-8-2-france"
"note_c1",,"france:reparability_index:documentation_score","Folksonomy Engine",
"note_c2",,"france:reparability_index:dismantlability_score","Folksonomy Engine",
"note_c3",,"france:reparability_index:spare_parts_availability_score","Folksonomy Engine",
"note_c4",,"france:reparability_index:price_score","Folksonomy Engine",
"note_c5",,"france:reparability_index:specific_criteria_score","Folksonomy Engine",
"note_c2.1",,"-",,
"note_c2.2",,"-",,
"note_c2.3",,"-",,
"note_c3.1",,"-",,
"note_c3.2",,"-",,
"note_c3.3",,"-",,
"note_c3.4",,"-",,
"note_c5.1",,"-",,
"note_c5.2",,"-",,
"note_c5.3",,"-",,
"lien_documentation",,"link","Product Opener","Sometimes its leads to the documentation, sometimes to the producers' website"
"nom_piece_detachee_1_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment; nested values. Eg. bla|bli|blo"
"delai_jours_piece_detachee_1_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment; nested values. Eg. <3|<3|<3"
"nb_annees_disponibilite_piece_detachee_1_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment; nested values. Eg. >13|>13|>13"
"nom_piece_detachee_2_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_2_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_2_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_3_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_3_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_3_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_4_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_4_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_4_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_5_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_5_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_5_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_6_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_6_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_6_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_7_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_7_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_7_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_8_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_8_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_8_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_9_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_9_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_9_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_10_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_10_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_10_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_11_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_11_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_11_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_12_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_12_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_12_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_13_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_13_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_13_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_14_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_14_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_14_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_15_reparateur","add_to_list","france:reparability_index:spare_part:name:repairer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_15_reparateur","add_to_list","france:reparability_index:spare_part:delivery_days:repairer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_15_reparateur","add_to_list","france:reparability_index:spare_part:availability_years:repairer",,"Not imported for the moment"
"nom_piece_detachee_1_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_1_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_1_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_2_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_2_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_2_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_3_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_3_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_3_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
"nom_piece_detachee_4_producteur","add_to_list","france:reparability_index:spare_part:name:producer:fr",,"Not imported for the moment"
"delai_jours_piece_detachee_4_producteur","add_to_list","france:reparability_index:spare_part:delivery_days:producer",,"Not imported for the moment"
"nb_annees_disponibilite_piece_detachee_4_producteur","add_to_list","france:reparability_index:spare_part:availability_years:producer",,"Not imported for the moment"
