fdc_category,number_of_products,category,To create
"Popcorn, Peanuts, Seeds & Related Snacks",15869,en:Snacks,
Candy,15053,en:Confectioneries,
Cheese,13788,en:Cheeses,
Ice Cream & Frozen Yogurt,10990,en:Frozen desserts,
Cookies & Biscuits,10239,en:Biscuits,
Breads & Buns,8479,en:Breads,
"Pickles, Olives, Peppers & Relishes",8417,en:Salted snacks,
"Chips, Pretzels & Snacks",8203,en:Snacks,
"Fruit & Vegetable Juice, Nectars & Fruit Drinks",7870,en:Plant-based beverages,
Chocolate,7038,en:Chocolate candies,
Cereal,7026,en:cereals,
"Snack, Energy & Granola Bars",6731,en:Snacks,
"Cakes, Cupcakes, Snack Cakes",6717,en:Cakes,
"Seasoning Mixes, Salts, Marinades & Tenderizers",6145,en:Condiments,
Soda,6132,en:Sodas,
Yogurt,5977,en:Yogurts,
"Ketchup, Mustard, BBQ & Cheese Sauce",5937,en:Sauces,
Pasta by Shape & Type,5561,en:pastas,
Dips & Salsa,5440,en:Dips,
Salad Dressing & Mayonnaise,5395,en:Sauces,
Other Snacks,4974,en:Snacks,
Wholesome Snacks,4970,en:Snacks,
Water,4741,en:Waters,
Frozen Dinners & Entrees,4263,en:Frozen foods,
Canned Vegetables,4061,en:Canned vegetables,
Pre-Packaged Fruit & Vegetables,4028,en:Fruits and vegetables based foods,
"Pepperoni, Salami & Cold Cuts",3884,en:Prepared meats,
Frozen Appetizers & Hors D'oeuvres,3877,en:Frozen foods,
Frozen Vegetables,3596,en:Frozen vegetables,
Vegetable & Cooking Oils,3574,en:Vegetable oils,
"Sausages, Hotdogs & Brats",3408,en:Sausages,
Milk,3367,en:Milks,
Crackers & Biscotti,3318,en:Biscuits and cakes,
Pizza,3176,en:Pizzas,
Prepared Pasta & Pizza Sauces,3099,en:Sauces,
Baking Decorations & Dessert Toppings,3057,en:Baking decorations,en:Baking decorations
Other Drinks,2983,en:Beverages,
Canned Fruit,2941,en:Canned fruits,
"Oriental, Mexican & Ethnic Sauces",2907,en:Sauces,
Powdered Drinks,2878,en:Dehydrated beverages,
Canned & Bottled Beans,2752,en:Canned common beans,
"Jam, Jelly & Fruit Spreads",2727,en:Fruit preserves,
Frozen Fish & Seafood,2726,en:Frozen seafood,
Other Soups,2656,en:Soups,
Tomatoes,2599,en:Tomatoes,
"Cake, Cookie & Cupcake Mixes",2533,en:Cake mixes,
"Croissants, Sweet Rolls, Muffins & Other Pastries",2231,en:Pastries,
