Additive Class;INS number;Food Additive or Group
Acidity regulator;260;Acetic acid, glacial
Acidity regulator;355;Adipic acid
Acidity regulator;523;Aluminium ammonium sulfate
Acidity regulator;503(i);Ammonium carbonate
Acidity regulator;342(i);Ammonium dihydrogen phosphate
Acidity regulator;503(ii);Ammonium hydrogen carbonate
Acidity regulator;527;Ammonium hydroxide
Acidity regulator;452(v);Ammonium polyphosphate
Acidity regulator;300;Ascorbic acid, L-
Acidity regulator;263;Calcium acetate
Acidity regulator;170(i);Calcium carbonate
Acidity regulator;450(vii);Calcium dihydrogen diphosphate
Acidity regulator;341(i);Calcium dihydrogen phosphate
Acidity regulator;578;Calcium gluconate
Acidity regulator;341(ii);Calcium hydrogen phosphate
Acidity regulator;526;Calcium hydroxide
Acidity regulator;327;Calcium lactate
Acidity regulator;352(ii);Calcium malate, D, L-
Acidity regulator;529;Calcium oxide
Acidity regulator;452(iv);Calcium polyphosphate
Acidity regulator;516;Calcium sulfate
Acidity regulator;903;Carnauba wax
Acidity regulator;330;Citric acid
Acidity regulator;342(ii);Diammonium hydrogen phosphate
Acidity regulator;450(vi);Dicalcium diphosphate
Acidity regulator;340(ii);Dipotassium hydrogen phosphate
Acidity regulator;450(i);Disodium diphosphate
Acidity regulator;339(ii);Disodium hydrogen phosphate
Acidity regulator;297;Fumaric acid
Acidity regulator;575;Glucono delta-lactone
Acidity regulator;507;Hydrochloric acid
Acidity regulator;270;Lactic acid, L-, D- and DL-
Acidity regulator;504(i);Magnesium carbonate
Acidity regulator;450(ix);Magnesium dihydrogen diphosphate
Acidity regulator;343(i);Magnesium dihydrogen phosphate
Acidity regulator;580;Magnesium gluconate
Acidity regulator;343(ii);Magnesium hydrogen phosphate
Acidity regulator;528;Magnesium hydroxide
Acidity regulator;504(ii);Magnesium hydroxide carbonate
Acidity regulator;329;Magnesium lactate, DL-
Acidity regulator;530;Magnesium oxide
Acidity regulator;296;Malic acid, DL-
Acidity regulator;451(ii);Pentapotassium triphosphate
Acidity regulator;451(i);Pentasodium triphosphate
Acidity regulator;338;Phosphoric acid
Acidity regulator;261(i);Potassium acetate
Acidity regulator;501(i);Potassium carbonate
Acidity regulator;332(i);Potassium dihydrogen citrate
Acidity regulator;340(i);Potassium dihydrogen phosphate
Acidity regulator;577;Potassium gluconate
Acidity regulator;501(ii);Potassium hydrogen carbonate
Acidity regulator;525;Potassium hydroxide
Acidity regulator;326;Potassium lactate
Acidity regulator;452(ii);Potassium polyphosphate
Acidity regulator;337;Potassium sodium L(+)-tartrate
Acidity regulator;515(i);Potassium sulfate
Acidity regulator;350(ii);Sodium DL-malate
Acidity regulator;335(ii);Sodium L(+)-tartrate
Acidity regulator;262(i);Sodium acetate
Acidity regulator;541(i);Sodium aluminium phosphate, acidic
Acidity regulator;541(ii);Sodium aluminium phosphate, basic
Acidity regulator;452(iii);Sodium calcium polyphosphate
Acidity regulator;500(i);Sodium carbonate
Acidity regulator;262(ii);Sodium diacetate
Acidity regulator;331(i);Sodium dihydrogen citrate
Acidity regulator;339(i);Sodium dihydrogen phosphate
Acidity regulator;365;Sodium fumarates
Acidity regulator;350(i);Sodium hydrogen DL-malate
Acidity regulator;500(ii);Sodium hydrogen carbonate
Acidity regulator;514(ii);Sodium hydrogen sulfate
Acidity regulator;524;Sodium hydroxide
Acidity regulator;325;Sodium lactate
Acidity regulator;452(i);Sodium polyphosphate
Acidity regulator;500(iii);Sodium sesquicarbonate
Acidity regulator;514(i);Sodium sulfate
Acidity regulator;334;L(+)-Tartaric acid
Acidity regulator;450(v);Tetrapotassium diphosphate
Acidity regulator;450(iii);Tetrasodium diphosphate
Acidity regulator;380;Triammonium citrate
Acidity regulator;333(iii);Tricalcium citrate
Acidity regulator;341(iii);Tricalcium phosphate
Acidity regulator;343(iii);Trimagnesium phosphate
Acidity regulator;332(ii);Tripotassium citrate
Acidity regulator;340(iii);Tripotassium phosphate
Acidity regulator;331(iii);Trisodium citrate
Acidity regulator;450(ii);Trisodium diphosphate
Acidity regulator;339(iii);Trisodium phosphate
Anticaking agent;559;Aluminium silicate
Anticaking agent;542;Bone phosphate
Anticaking agent;556;Calcium aluminium silicate
Anticaking agent;170(i);Calcium carbonate
Anticaking agent;341(i);Calcium dihydrogen phosphate
Anticaking agent;538;Calcium ferrocyanide
Anticaking agent;341(ii);Calcium hydrogen phosphate
Anticaking agent;552;Calcium silicate
Anticaking agent;903;Carnauba wax
Anticaking agent;1503;Castor oil
Anticaking agent;381;Ferric ammonium citrate
Anticaking agent;1442;Hydroxypropyl distarch phosphate
Anticaking agent;953;Isomalt (Hydrogenated isomaltulose)
Anticaking agent;504(i);Magnesium carbonate
Anticaking agent;343(i);Magnesium dihydrogen phosphate
Anticaking agent;343(ii);Magnesium hydrogen phosphate
Anticaking agent;504(ii);Magnesium hydroxide carbonate
Anticaking agent;530;Magnesium oxide
Anticaking agent;553(i);Magnesium silicate, synthetic
Anticaking agent;470(iii);Magnesium stearate
Anticaking agent;421;Mannitol
Anticaking agent;460(i);Microcrystalline cellulose (Cellulose gel)
Anticaking agent;900a;Polydimethylsiloxane
Anticaking agent;536;Potassium ferrocyanide
Anticaking agent;460(ii);Powdered cellulose
Anticaking agent;470(i);Salts of myristic, palmitic and stearic acids with ammonia, calcium, potassium and sodium
Anticaking agent;470(ii);Salts of oleic acid with calcium, potassium and sodium
Anticaking agent;551;Silicon dioxide, amorphous
Anticaking agent;554;Sodium aluminosilicate
Anticaking agent;500(i);Sodium carbonate
Anticaking agent;535;Sodium ferrocyanide
Anticaking agent;500(ii);Sodium hydrogen carbonate
Anticaking agent;500(iii);Sodium sesquicarbonate
Anticaking agent;553(iii);Talc
Anticaking agent;341(iii);Tricalcium phosphate
Anticaking agent;343(iii);Trimagnesium phosphate
Antifoaming agent;404;Calcium alginate
Antifoaming agent;905c(i);Microcrystalline wax
Antifoaming agent;905d;Mineral oil, high viscosity
Antifoaming agent;471;Mono- and di-glycerides of fatty acids
Antifoaming agent;900a;Polydimethylsiloxane
Antifoaming agent;1521;Polyethylene glycol
Antifoaming agent;551;Silicon dioxide, amorphous
Antioxidant;300;Ascorbic acid, L-
Antioxidant;304;Ascorbyl palmitate
Antioxidant;305;Ascorbyl stearate
Antioxidant;320;Butylated hydroxyanisole (BHA)
Antioxidant;321;Butylated hydroxytoluene (BHT)
Antioxidant;302;Calcium ascorbate
Antioxidant;385;Calcium disodium ethylenediaminetetraacetate
Antioxidant;330;Citric acid
Antioxidant;472c;Citric and fatty acid esters of glycerol
Antioxidant;389;Dilauryl thiodipropionate
Antioxidant;386;Disodium ethylenediaminetetraacetate
Antioxidant;315;Erythorbic Acid (Isoascorbic acid)
Antioxidant;1102;Glucose oxidase
Antioxidant;314;Guaiac resin
Antioxidant;384;Isopropyl citrates
Antioxidant;322(i);Lecithin
Antioxidant;322(ii);Lecithin, partially hydrolysed
Antioxidant;942;Nitrous oxide
Antioxidant;338;Phosphoric acid
Antioxidant;326;Potassium lactate
Antioxidant;224;Potassium metabisulfite
Antioxidant;225;Potassium sulfite
Antioxidant;310;Propyl gallate
Antioxidant;301;Sodium ascorbate
Antioxidant;316;Sodium erythorbate (Sodium isoascorbate)
Antioxidant;222;Sodium hydrogen sulfite
Antioxidant;325;Sodium lactate
Antioxidant;223;Sodium metabisulfite
Antioxidant;221;Sodium sulfite
Antioxidant;539;Sodium thiosulfate
Antioxidant;512;Stannous chloride
Antioxidant;484;Stearyl citrate
Antioxidant;220;Sulfur dioxide
Antioxidant;334;L(+)-Tartaric acid
Antioxidant;319;Tertiary butylhydroquinone (TBHQ)
Antioxidant;388;Thiodipropionic acid
Antioxidant;307b;Tocopherol concentrate, mixed
Antioxidant;307a;d-alpha-Tocopherol
Antioxidant;307c;dl-alpha-Tocopherol
Bleaching agent;928;Benzoyl peroxide
Bleaching agent;224;Potassium metabisulfite
Bleaching agent;223;Sodium metabisulfite
Bleaching agent;221;Sodium sulfite
Bleaching agent;220;Sulfur dioxide
Bulking agent;406;Agar
Bulking agent;400;Alginic acid
Bulking agent;403;Ammonium alginate
Bulking agent;404;Calcium alginate
Bulking agent;903;Carnauba wax
Bulking agent;407;Carrageenan
Bulking agent;462;Ethyl cellulose
Bulking agent;414;Gum arabic (Acacia gum)
Bulking agent;464;Hydroxypropyl methyl cellulose
Bulking agent;953;Isomalt (Hydrogenated isomaltulose)
Bulking agent;965(i);Maltitol
Bulking agent;965(ii);Maltitol syrup
Bulking agent;421;Mannitol
Bulking agent;461;Methyl cellulose
Bulking agent;460(i);Microcrystalline cellulose (Cellulose gel)
Bulking agent;1200;Polydextroses
Bulking agent;402;Potassium alginate
Bulking agent;460(ii);Powdered cellulose
Bulking agent;407a;Processed eucheuma seaweed (PES)
Bulking agent;405;Propylene glycol alginate
Bulking agent;401;Sodium alginate
Bulking agent;466;Sodium carboxymethyl cellulose (Cellulose gum)
Bulking agent;325;Sodium lactate
Bulking agent;420(i);Sorbitol
Bulking agent;420(ii);Sorbitol syrup
Carrier;406;Agar
Carrier;400;Alginic acid
Carrier;403;Ammonium alginate
Carrier;901;Beeswax
Carrier;404;Calcium alginate
Carrier;902;Candelilla wax
Carrier;903;Carnauba wax
Carrier;407;Carrageenan
Carrier;1503;Castor oil
Carrier;459;Cyclodextrin, beta-
Carrier;1504(i);Cyclotetraglucose
Carrier;1504(ii);Cyclotetraglucose syrup
Carrier;1400;Dextrins, roasted starch
Carrier;462;Ethyl cellulose
Carrier;414;Gum arabic (Acacia gum)
Carrier;425;Konjac flour
Carrier;504(ii);Magnesium hydroxide carbonate
Carrier;460(i);Microcrystalline cellulose (Cellulose gel)
Carrier;1521;Polyethylene glycol
Carrier;402;Potassium alginate
Carrier;407a;Processed eucheuma seaweed (PES)
Carrier;405;Propylene glycol alginate
Carrier;551;Silicon dioxide, amorphous
Carrier;401;Sodium alginate
Carrier;1518;Triacetin
Carrier;1505;Triethyl citrate
Colour retention agent;523;Aluminium ammonium sulfate
Colour retention agent;385;Calcium disodium ethylenediaminetetraacetate
Colour retention agent;330;Citric acid
Colour retention agent;386;Disodium ethylenediaminetetraacetate
Colour retention agent;579;Ferrous gluconate
Colour retention agent;585;Ferrous lactate
Colour retention agent;504(i);Magnesium carbonate
Colour retention agent;511;Magnesium chloride
Colour retention agent;528;Magnesium hydroxide
Colour retention agent;504(ii);Magnesium hydroxide carbonate
Colour retention agent;1202;Polyvinylpyrrolidone, insoluble
Colour retention agent;252;Potassium nitrate
Colour retention agent;249;Potassium nitrite
Colour retention agent;251;Sodium nitrate
Colour retention agent;250;Sodium nitrite
Colour retention agent;512;Stannous chloride
Colour;160c(ii);Paprika extract
Colour;129;Allura red AC
Colour;123;Amaranth
Colour;160b(i);Annatto extracts, bixin-based
Colour;160b(ii);Annatto extracts, norbixin-based
Colour;122;Azorubine (Carmoisine)
Colour;162;Beet red
Colour;151;Brilliant black (Black PN)
Colour;133;Brilliant blue FCF
Colour;155;Brown HT
Colour;170(i);Calcium carbonate
Colour;161g;Canthaxanthin
Colour;150a;Caramel I – plain caramel
Colour;150b;Caramel II - sulfite caramel
Colour;150c;Caramel III - ammonia caramel
Colour;150d;Caramel IV - sulfite ammonia caramel
Colour;120;Carmines
Colour;160e;Carotenal, beta-apo-8'-
Colour;160a(iii);beta-Carotenes, Blakeslea trispora
Colour;160a(i);beta-Carotenes, synthetic
Colour;160a(ii);beta-Carotenes, vegetable
Colour;160f;Carotenoic acid, ethyl ester, beta-apo-8'-
Colour;141(ii);Chlorophyllin copper complexes, potassium and sodium salts
Colour;140;Chlorophylls
Colour;141(i);Chlorophylls, copper complexes
Colour;100(i);Curcumin
Colour;127;Erythrosine
Colour;143;Fast green FCF
Colour;163(ii);Grape skin extract
Colour;132;Indigotine (Indigo carmine)
Colour;172(i);Iron oxide, black
Colour;172(ii);Iron oxide, red
Colour;172(iii);Iron oxide, yellow
Colour;161b(iii);Lutein esters from Tagetes erecta
Colour;161b(i);Lutein from Tagetes erecta
Colour;160d(iii);Lycopene, Blakeslea trispora
Colour;160d(i);Lycopene, synthetic
Colour;160d(ii);Lycopene, tomato
Colour;124;Ponceau 4R (Cochineal red A)
Colour;104;Quinoline yellow
Colour;128;Red 2G
Colour;101(ii);Riboflavin 5'-phosphate sodium
Colour;101(iii);Riboflavin from Bacillus subtilis
Colour;101(i);Riboflavin, synthetic
Colour;110;Sunset yellow FCF
Colour;181;Tannic acid (Tannins)
Colour;102;Tartrazine
Colour;171;Titanium dioxide
Colour;161h(i);Zeaxanthin, synthetic
Emulsifier;472a;Acetic and fatty acid esters of glycerol
Emulsifier;1422;Acetylated distarch adipate
Emulsifier;1414;Acetylated distarch phosphate
Emulsifier;1451;Acetylated oxidized starch
Emulsifier;1401;Acid-treated starch
Emulsifier;406;Agar
Emulsifier;400;Alginic acid
Emulsifier;1402;Alkaline treated starch
Emulsifier;403;Ammonium alginate
Emulsifier;452(v);Ammonium polyphosphate
Emulsifier;442;Ammonium salts of phosphatidic acid
Emulsifier;901;Beeswax
Emulsifier;1403;Bleached starch
Emulsifier;542;Bone phosphate
Emulsifier;450(vii);Calcium dihydrogen diphosphate
Emulsifier;452(iv);Calcium polyphosphate
Emulsifier;482(i);Calcium stearoyl lactylate
Emulsifier;902;Candelilla wax
Emulsifier;410;Carob bean gum
Emulsifier;407;Carrageenan
