code;name;address;lat;lng
CZ 01 ES;Schreiber Czech Republic s.r.o.;Konopišťská 905, 25601 Benešov;49.7807583;14.6759434
CZ 03 ES;MADETA a. s., závod Jindřichův Hradec;Jiráskovo předměstí 638/III, 377 01 Jindřichův Hradec;49.1329312;15.0137773
CZ 04 ES;Mlékárna Klatovy s.r.o.;Za Tratí 640, Klatovy IV, 33901 Klatovy;49.3876909;13.2889756
CZ 05 ES;Eligo a.s., odštěpný závod Brno;Hněvkovského 81, 61700 Brno;49.1668791;16.6297593
CZ 06 ES;ALL-IMPEX , a.s.;Dělnická 548, Pardubičky, 53003 Pardubice;50.0242742;15.8182928
CZ 07 ES;Mlékárna Hlinsko, a.s.;Kouty č. p. 53, 53901 Hlinsko;49.754915;15.8951588
CZ 08 ES;OLMA a.s.Olomouc;Pavelkova 597/18, Holice, 77900 Olomouc;49.5864891;17.297097
CZ 09 ES;Eligo a.s., odštěpný závod Kolín;Třídvorská ul. 712, 280 02 Kolín;50.0332925;15.2230133
CZ 10 ES;Eligo 10 s.r.o.;Revoluční 1489, 34901 Stříbro;49.7566733;12.9889379
CZ 10038 ES;POTRAVINY VYSOČINA s.r.o.;Český Dvůr 123, 58001 Knyk;49.6402449;15.5921662
CZ 10154 ES;MAKRO Cash & Carry ČR s.r.o.;Komerční zóna, Hradubická 181, 50332 Hradec Králové 22;50.2011555;15.837978
CZ 10168 ES;PEGG, spol. s r. o.;Zadní 487, Pouchov, 50341 Hradec Králové;50.2354478;15.8498369
CZ 10177 ES;Rybářství Chlumec nad Cidlinou, a.s.;Chlumec nad Cidlinou, 50351 Chlumec nad Cidlinou;50.163377;15.4574566
CZ 10365 ES;PRANTL Masný průmysl s.r.o.- reexpedice Ostrava;Proskovická 899/212, Stará Bělá, 72400 Ostrava;49.7641496;18.2059996
CZ 10366 ES;"JUNIOR WORLDCUP  ""94, spol. s r.o.";Na Desátém 2276/10, Moravská Ostrava, 70200 Ostrava;49.841148849999996;18.287307581228745
CZ 105 ES;MASO UZENINY PÍSEK, a.s.;Samoty 1533, Budějovické Předměstí, 39701 Písek;49.317844300000004;14.16014004672897
CZ 106 ES;JATKY Hradský, s.r.o.;Písecká 594, Strakonice I, 38601 Strakonice;49.2664603;13.917031
CZ 10615 ES;Kozí Farma Pěnčín, mlékárna;Pěnčín č. p. 60, 46821 Pěnčín;49.5671049;17.0094437
CZ 1066 ES;Lukáš Čadil;Radnická 32/1, 39001 Tábor;49.4140228;14.6572149
CZ 10665 ES;FOLDA, s.r.o.;Bělíkova 1446, 46401 Frýdlant v Čechách;50.9186363;15.0891853
CZ 10675 ES;F I N A L  s.r.o.;Příšovice č. p. 177, 46346 Příšovice;50.57814;15.0806788
CZ 10682 ES;RAVY CZ a.s.;Norská 580/40a, Liberec XI-Růžodol I, 46001 Liberec;50.7791295;15.0446219
CZ 10684 ES;Vladislav Ondřejík;Ves, 46373 Černousy;51.0160416;15.029379
CZ 107 ES;Vimperská masna, a.s.;Špidrova 84, Vimperk III, 38501 Vimperk;49.0525081;13.809173075250072
CZ 1070 ES;RABBIT Trhový Štěpánov a.s.;Biskupická 776, 56943 Jevíčko;49.6351538;16.7204487
