code;name;address;lat;lng
IE 2557 EC;Argue Meats;25 Cavan Street, Cootehill, H16 DH31, Cavan;54.0713909;-7.0841263
IE 2908 EC;Barry Johns Sausages;Drumnavarragh, Poles, H12 VY02, Cavan;53.988895;-7.2876859
IE 2647 EC;Blacks Butchers;Main Street, Bailieboro, A82 K2T4, Cavan;54.03497495;-7.2937022825583675
IE 2715 EC;Choice Cuts;Main Street, Swanlinbar, H14 A381, Cavan;54.194722;-7.704444
IE 2447 EC;Heery Meats;Cloneary, Bawnboy, H14 EV65, Cavan;54.1212699;-7.6757074
IE 2655 EC;Leonard Lynch;Kilcully, Ballyjamesduff, A82 V207, Cavan;53.8639055;-7.2061572
IE 2515 EC;Lislin Meats Ltd;Cloughballybeg, Mullagh, A82 R262, Cavan;53.811536;-6.9485592
IE 3012 EC;M & M Meats;Lear, Bailieboro, A82 A4Y8, Cavan;54.03497495;-7.2937022825583675
IE 2636 EC;Michael Gaynor;Corstruce, Ballinagh, H12 P822, Cavan;53.9301835;-7.4110268
IE 2637 EC;Patrick Gaynor;Dublin Road, Ballinagh, H12 EW86, Cavan;53.9319227;-7.4078788
IE 2448 EC;Sheelin Meats;Carrick, Finea, N91 Y008, Cavan;53.82095525;-7.332129391711837
IE 2993 EC;Tavan Meats Ltd;Rantavan, Mullagh, A82 K512, Cavan;53.8068679;-6.945743204950751
IE 2983 EC;ASBA MEATS LTD;Unit 2 Beechpark Logistics Centre, Smithstown Industrial Estate, Shannon, V14 N152, Clare;52.7104544;-8.8788366
IE 2325 EC;C&M Foods;Cutten Mor, Tulla, Ennis, V95 YX25, Clare;52.8563735;-8.9534095
IE 2417 EC;Denis Corcoran;Springmount, Kilmore, V94 NY83, Clare;52.76128105;-8.593930186850844
IE 2536 EC;Edward Joyce T/A Summerhill Meats;Summerhill, Meelick, V94 RK20, Clare;52.7024048;-8.6499523
IE 2838 EC;Gourmet Game Ltd.;Aughrim, Scariff, V94 Y4EX, Clare;52.857257450000006;-8.937435925994537
IE 2416 EC;James & Joseph Kelly;Beech Park, Ennis, Clare;52.8435152;-8.983747
IE 2324 EC;Meeres Pork Products;Wellpark, Quin, V95 W3WC, Clare;52.857257450000006;-8.937435925994537
IE 2728 EC;Noel Ryan;Knockalough, Kilmihil, Clare;52.7143861;-9.27503
IE 2567 EC;Sean Haugh;Knockroe, Kilkee, Clare;52.67805235;-9.645906312818264
IE 2415 EC;Tom O'Connor T/A Claron Foods;Bacon Wholesaler, Athlunkard, Parteen, V94 X239, Clare;52.6957346;-8.6153829
IE 2394 EC;A O'Reilly & Sons;Unit 3B, Mayfield Industrial Park, Yaughal Road, Cork;51.917535900000004;-8.58597726870895
IE 2897 EC;Andrius Kralikas, T/A Fermoy Meat;4 Emmet Street, Fermoy, Cork;52.1359558;-8.2790152
IE 3026 EC;Andrius Kralikas, T/A Fermoy Meat Smokehouse;Unit 14 Ballytrasna Industrial Estate, Little Island, Cork;51.9035274;-8.3541241
IE 2366 EC;Ballyburden Meat Processors Ltd;Main Street, Ballincollig, Co Cork, Cork;51.88786;-8.5982953
IE 2303 EC;Caherbeg Free Range Pork Ltd;Caherbeg, Roscarbery, Cork;51.917535900000004;-8.58597726870895
IE 2457 EC;Christopher & Trevor Collins;Dereenataggart East, Castletownbere, Cork;51.6514159;-9.9104925
IE 2538 EC;CL Meats Limited;Unit 8, Kinsale Rd, Industrial Estate, Cork;51.8754488;-8.4703405
IE 2321 EC;Coolcower Meat Enterprises Ltd;Farrennavarigane, Macroom, Cork;51.9049705;-8.9599195
IE 2949 EC;Cormac O'Connor (Pork & Bacon) Ltd.;Iona Road, Colmcille Avenue, Mayfield, Cork;51.9106512;-8.436875
IE 2634 EC;Cronin Family Butchers;Strand Street, Kanturk, Cork;52.1774522;-8.9065541
IE 2528 EC;Daniel P Murphy & Sons Ltd;Drury Lane, Midleton, Cork;51.9142741;-8.1700962
IE 2469 EC;Edmond & Denis Fitzgerald;Kill-St-Anne, Castlelyons, Cork;52.0889073;-8.2338663
IE 2468 EC;Edmond Clifford;Main Street, Castlemartyr, Cork;51.9116831;-8.0569206
IE 2894 EC;Eugene & Helena Hickey T/A Skeaghanore Duck;Skeaghanore West Cork Farm, Ballydehob, P81 VP76, Cork;51.5621926;-9.4607391
